"","Protein.ID","Uniprot","Protein.names","fc3"
"331","CHOYP_LOC584062.1.1|m.62279","O00625","Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)",-2.16992500144231
"358","CHOYP_NUP54.1.1|m.24886","P70582","Nuclear pore complex protein Nup54 (54 kDa nucleoporin) (Nucleoporin Nup54)",2.70951129135145
"383","CHOYP_TVAG_355490.19.22|m.56184","Q16787","Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)",2.70951129135145
"387","CHOYP_ZN706.1.2|m.11926","Q5ZMM5","Zinc finger protein 706",2.25985100456466
"396","CHOYP_BRAFLDRAFT_114006.1.1|m.49056","Q6GNT9","Protein MEMO1 (Mediator of ErbB2-driven cell motility 1) (Memo-1)",-2.25985100456466
"443","CHOYP_ELDP2.1.2|m.39081","B3A0R6","EGF-like domain-containing protein 1 (Uncharacterized shell protein 17) (LUSP-17)",5.9139374137187
"471","CHOYP_LOC100369657.2.2|m.45309","P19891","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase)",-2.70043971814109
"515","CHOYP_LSM4.1.3|m.2601","Q9QXA5","U6 snRNA-associated Sm-like protein LSm4",3.41902258270291
"575","CHOYP_AT1.1.1|m.66793","Q9Y345","Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)",-2.70951129135145
"623","CHOYP_FNTB.1.1|m.45546","P49355","Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)",4.20442612236725
"694","CHOYP_LOC100929680.1.2|m.17333","P15941","Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]",7.78612106940638
"731","CHOYP_PSME4.1.1|m.18992","Q6NRP2","Proteasome activator complex subunit 4 (Proteasome activator PA200)",-2
"775","CHOYP_BRAFLDRAFT_106560.13.14|m.62780","A0A0R4IBK5","E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)",2.4594316186373
"810","CHOYP_DHSO.1.2|m.5409","P27867","Sorbitol dehydrogenase (EC 1.1.1.14) (L-iditol 2-dehydrogenase)",-2.70951129135145
"821","CHOYP_GABPA.1.1|m.15077","Q06546","GA-binding protein alpha chain (GABP subunit alpha) (Nuclear respiratory factor 2 subunit alpha) (Transcription factor E4TF1-60)",-2.25985100456466
"822","CHOYP_GEK.1.1|m.4939","O54874","Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)",2.16992500144231
"844","CHOYP_LOC100368394.1.2|m.22888","Q5T0N1","Cilia- and flagella-associated protein 70 (Tetratricopeptide repeat protein 18) (TPR repeat protein 18)",-2.18265833864414
"872","CHOYP_LOC100378619.1.2|m.21468","Q8N9Z9","Lamin tail domain-containing protein 1 (Intermediate filament tail domain-containing protein 1)",-3.58496250072116
"919","CHOYP_NEMVEDRAFT_V1G237881.1.1|m.10098","Q5C9L6","(S)-coclaurine N-methyltransferase (TfCNMT) (EC 2.1.1.140)",-2.16992500144231
"954","CHOYP_TPM.7.19|m.15554","Q99020","Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (CArG-binding factor-A) (CBF-A)",-4.55458885167764
"982","CHOYP_BRAFLDRAFT_128029.1.1|m.63515","Q2TBS4","Protein pitchfork",-2
"1044","CHOYP_LOC100201155.1.1|m.58066","P42674","Blastula protease 10 (EC 3.4.24.-)",-2.70951129135145
"1049","CHOYP_LOC100368360.1.1|m.9672","Q4KKZ1","Uncharacterized protein C1orf158 homolog",-2.58496250072116
"1050","CHOYP_LOC100369017.1.1|m.27033","Q8NFJ9","Bardet-Biedl syndrome 1 protein (BBS2-like protein 2)",-2.70951129135145
"1051","CHOYP_LOC100369340.1.1|m.51639","Q80ZX8","Sperm-associated antigen 1 (Infertility-related sperm protein Spag-1) (TPR-containing protein involved in spermatogenesis) (TPIS)",-2.25985100456466
"1082","CHOYP_LOC100698013.1.1|m.5420","P83425","Heavy metal-binding protein HIP",-2.25985100456466
"1096","CHOYP_LOC578371.1.1|m.56054","Q9P2S6","Ankyrin repeat and MYND domain-containing protein 1 (Testis-specific ankyrin-like protein 1) (Zinc finger MYND domain-containing protein 13)",2
"1098","CHOYP_LOC581183.1.1|m.49767","Q7ZU45","Tetratricopeptide repeat protein 25 (TPR repeat protein 25)",-4.24792751344359
"1132","CHOYP_RAB35.1.1|m.8277","Q5U316","Ras-related protein Rab-35",-2.25985100456466
"1152","CHOYP_TSP_02835.1.1|m.26375","O01814","Fatty acid-binding protein homolog 5",-2.70951129135145
"1163","CHOYP_AAEL_AAEL005197.1.1|m.59507","Q9HB90","Ras-related GTP-binding protein C (Rag C) (RagC) (GTPase-interacting protein 2) (TIB929)",2.70951129135145
"1176","CHOYP_BRAFLDRAFT_123909.1.1|m.24337","Q3UYG8","O-acetyl-ADP-ribose deacetylase MACROD2 (EC 3.2.2.-) (EC 3.5.1.-) (MACRO domain-containing protein 2) ([Protein ADP-ribosylglutamate] hydrolase)",-2.16992500144231
"1200","CHOYP_CBPC1.1.1|m.30713","Q5REG1","Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3)",2.16992500144231
"1251","CHOYP_LOC100373146.2.2|m.27802","Q6ZUG5","Uncharacterized protein FLJ43738",-2.70951129135145
"1293","CHOYP_LOC656702.1.1|m.14425","Q13045","Protein flightless-1 homolog",2.25985100456466
"1328","CHOYP_TT30A.1.1|m.28332","Q6INU8","Tetratricopeptide repeat protein 30A (TPR repeat protein 30A)",-2.25985100456466
"1338","CHOYP_YAP.1.2|m.23386","Q1L8J7","Transcriptional coactivator YAP1 (Yes-associated protein 1) (zYAP) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)",3.0896936467371
"1356","CHOYP_BRAFLDRAFT_121480.1.1|m.48790","P86789","Gigasin-6",5.2780525887455
"1492","CHOYP_MIB1.2.4|m.35815","Q9BVR0","Putative HERC2-like protein 3",-2
"1513","CHOYP_PHUM_PHUM477110.1.1|m.53813","P20241","Neuroglian",-4.41902258270291
"1516","CHOYP_PPT2A.1.2|m.30339","Q6PCJ9","Lysosomal thioesterase PPT2-A (PPT-2-A) (EC 3.1.2.-)",2.32192809488736
"1522","CHOYP_SF3B5.1.1|m.12205","Q9VHI4","Probable splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit)",-3.0896936467371
"1523","CHOYP_SMG7.1.1|m.21983","Q5RJH6","Protein SMG7 (EST1-like protein C) (SMG-7 homolog)",-2.70951129135145
"1568","CHOYP_BCKD.2.2|m.60038","O14874","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)",-2.70951129135145
"1583","CHOYP_BRAFLDRAFT_214346.1.1|m.56462","Q00988","Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",2.4594316186373
"1621","CHOYP_ISCW_ISCW020028.1.1|m.57937","Q9I7F7","Tyrosine-protein kinase PR2 (EC 2.7.10.2)",2.70951129135145
"1624","CHOYP_LOC100115002.1.1|m.45844","Q9CX00","IST1 homolog",-3.0896936467371
"1664","CHOYP_LOC100554670.1.1|m.4865","Q8IZD4","mRNA-decapping enzyme 1B (EC 3.-.-.-)",2
"1684","CHOYP_LOC586835.1.1|m.9967","Q96MU7","YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)",3.96936229591612
"1775","CHOYP_BRAFLDRAFT_223476.1.1|m.30983","O35125","Leucine-rich repeat-containing protein 23 (Leucine-rich protein B7)",3.96936229591612
"1797","CHOYP_CO5A2.1.1|m.28030","Q8BMF8","Gliomedin (Cancer-related gene liver 2 protein) (CRG-L2) [Cleaved into: Gliomedin shedded ectodomain]",-2.70043971814109
"1808","CHOYP_FBLN2.1.1|m.25187","P37889","Fibulin-2 (FIBL-2)",4.61643218977614
"1817","CHOYP_ISCW_ISCW001487.2.2|m.61505","Q96DR7","Rho guanine nucleotide exchange factor 26 (SH3 domain-containing guanine exchange factor)",2.25985100456466
"1847","CHOYP_LOC100374307.1.1|m.29504","Q5RDZ2","Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH)",-3.0896936467371
"1851","CHOYP_LOC100375473.1.1|m.9062","Q4R6T7","IQ and ubiquitin-like domain-containing protein",-2.04921410567492
"1855","CHOYP_LOC100377323.1.1|m.23683","D4GU72","Low-salt glycan biosynthesis protein Agl12 (EC 4.2.1.-)",-3.0896936467371
"1861","CHOYP_LOC100553687.1.1|m.61663","P0CB49","YLP motif-containing protein 1 (Nuclear protein ZAP3)",3.70951129135145
"1903","CHOYP_MYO3AL.1.1|m.8123","Q1EG27","Myosin-IIIb (EC 2.7.11.1)",-3.41902258270291
"1945","CHOYP_TMEM2.3.4|m.10491","Q5FWI3","Transmembrane protein 2",3.4594316186373
"1946","CHOYP_TNRC6A.2.2|m.59802","Q9HCJ0","Trinucleotide repeat-containing gene 6C protein",-2.51294159473206
"1950","CHOYP_UFC1.1.2|m.6917","A7SM54","Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1)",-2.25985100456466
"1976","CHOYP_BRAFLDRAFT_123642.2.2|m.55471","Q8N6T3","ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein)",3.41902258270291
"1987","CHOYP_BRAFLDRAFT_265162.1.3|m.58969","Q5EAR5","tRNA 2'-phosphotransferase 1 (EC 2.7.1.160)",-2.70043971814109
"2053","CHOYP_LOC100370154.1.2|m.27385","Q9CZT8","Ras-related protein Rab-3B",-2.4594316186373
"2079","CHOYP_LOC100725472.1.2|m.5970","Q95KI0","RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A)",2
"2102","CHOYP_LOC590931.1.1|m.7446","Q6PGZ3","TRAF3-interacting protein 1",-2.70951129135145
"2109","CHOYP_LOC778718.1.1|m.29230","O54879","High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4)",-2.39795569343158
"2126","CHOYP_PHUM_PHUM445570.1.1|m.18708","O15460","Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)",3.0896936467371
"2134","CHOYP_RAS3.1.1|m.15706","Q640R7","Ras-related protein Rap-1b",-2.16992500144231
"2174","CHOYP_ATS2.1.2|m.39791","P0CR71","Transcription elongation factor SPT5 (Chromatin elongation factor SPT5)",3
"2203","CHOYP_BRAFLDRAFT_287844.1.1|m.63253","Q6P2Y2","Dynein assembly factor with WDR repeat domains 1 (Outer row dynein assembly protein 16 homolog) (WD repeat-containing protein 69)",-2.70951129135145
"2223","CHOYP_CUL2.1.1|m.59278","Q9D4H8","Cullin-2 (CUL-2)",2.25985100456466
"2255","CHOYP_LOC100179300.1.2|m.22734","O15865","Calcium-dependent protein kinase 2 (EC 2.7.11.1) (PfCDPK2)",2.70951129135145
"2270","CHOYP_LOC100373892.2.2|m.55838","Q8VCA8","Secernin-2",-2
"2307","CHOYP_LOC101157864.1.2|m.9913","Q9CQX8","28S ribosomal protein S36, mitochondrial (MRP-S36) (S36mt)",2.70951129135145
"2349","CHOYP_PNCB.1.1|m.57201","Q9VQX4","Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)",-2.32192809488736
"2410","CHOYP_BRAFLDRAFT_223429.1.2|m.30136","Q13148","TAR DNA-binding protein 43 (TDP-43)",-2.16992500144231
"2413","CHOYP_BRAFLDRAFT_278938.1.1|m.38684","Q5R605","Charged multivesicular body protein 1a (Chromatin-modifying protein 1a) (CHMP1a)",-2.70951129135145
"2415","CHOYP_BRAFLDRAFT_71030.1.1|m.31477","A2A3L6","Tetratricopeptide repeat protein 24 (TPR repeat protein 24)",-2.25985100456466
"2459","CHOYP_LOC100028654.1.1|m.62088","A3KPN8","Tetratricopeptide repeat protein 38 (TPR repeat protein 38)",2
"2482","CHOYP_LOC100371977.1.1|m.21628","Q5U312","Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Retinoic acid-induced protein 14)",3.96936229591612
"2488","CHOYP_LOC100372889.1.2|m.37506","P54001","Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)",2.16992500144231
"2500","CHOYP_LOC100641892.1.1|m.56601","P19623","Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)",3.96936229591612
"2538","CHOYP_NAA35.1.1|m.60092","Q5ZHV2","N-alpha-acetyltransferase 35, NatC auxiliary subunit (Protein MAK10 homolog)",2.25985100456466
"2539","CHOYP_NEMVEDRAFT_V1G106520.1.1|m.14881","P50532","Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome assembly protein XCAP-C) (Chromosome-associated protein C)",2.32192809488736
"2552","CHOYP_PDDC1.1.1|m.16484","Q8BFQ8","Parkinson disease 7 domain-containing protein 1",-2.70951129135145
"2574","CHOYP_RPB2.1.1|m.38872","P30876","DNA-directed RNA polymerase II subunit RPB2 (EC 2.7.7.6) (DNA-directed RNA polymerase II 140 kDa polypeptide) (DNA-directed RNA polymerase II subunit B) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2)",2.04280378682109
"2628","CHOYP_BRAFLDRAFT_280861.1.2|m.5389","Q94743","Sorcin",-2
"2629","CHOYP_BRAFLDRAFT_57258.2.3|m.48328","Q53FA7","Quinone oxidoreductase PIG3 (EC 1.-.-.-) (Tumor protein p53-inducible protein 3) (p53-induced gene 3 protein)",2.25985100456466
"2639","CHOYP_CARNS1.4.6|m.40244","Q8KWT3","Alanine--anticapsin ligase (EC 6.3.2.49) (ATP-dependent dipeptide ligase) (Bacilysin synthetase) (L-Ala-L-amino acid dipeptide ligase) (L-alanine--L-anticapsin ligase) (L-amino acid ligase) (Lal)",3.32192809488736
"2706","CHOYP_LOC100635715.2.9|m.8040","P07796","Histone H1-gamma, late",2.70951129135145
"2721","CHOYP_LOC101075808.1.1|m.17712","Q5RE33","Receptor expression-enhancing protein 5 (Polyposis locus protein 1 homolog)",-2.16992500144231
"2729","CHOYP_LOC592209.1.1|m.48009","Q8IVU9","Uncharacterized protein C10orf107",-3.70951129135145
"2730","CHOYP_LOC662072.1.1|m.51458","Q10131","Calexcitin-1",-2.70951129135145
"2795","CHOYP_AMY.3.3|m.64271","P91778","Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",2.19897784671579
"2810","CHOYP_BRAFLDRAFT_262219.2.2|m.65564","Q99JW2","Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)",-3.70951129135145
"2848","CHOYP_ELP1.2.2|m.29114","O95163","Elongator complex protein 1 (ELP1) (IkappaB kinase complex-associated protein) (IKK complex-associated protein) (p150)",2.25985100456466
"2855","CHOYP_HMCN1.23.44|m.42684","A2AAJ9","Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)",6.4262647547021
"2856","CHOYP_HS12A.25.33|m.60352","Q8EUH7","Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)",-2.70951129135145
"2863","CHOYP_KLH36.1.2|m.12244","Q80TF4","Kelch-like protein 13 (BTB and kelch domain-containing protein 2)",2.16992500144231
"2876","CHOYP_LOC100181350.1.1|m.2782","P47989","Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]",-3.0896936467371
"2919","CHOYP_LOC100864501.1.1|m.7850","Q4R7I8","E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27) (Casitas B-lineage lymphoma-transforming sequence-like protein 1) (RING-type E3 ubiquitin transferase Hakai) (c-Cbl-like protein 1)",-2.25985100456466
"2948","CHOYP_LOC757096.1.1|m.9762","Q5THR3","EF-hand calcium-binding domain-containing protein 6 (CAP-binding protein complex-interacting protein 1) (DJ-1-binding protein) (DJBP)",-2.46497352071793
"3034","CHOYP_BRAFLDRAFT_123537.2.2|m.50531","Q9UIF3","Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)",-2.28471063793266
"3066","CHOYP_DLGP1.3.3|m.44296","Q15398","Disks large-associated protein 5 (DAP-5) (Discs large homolog 7) (Disks large-associated protein DLG7) (Hepatoma up-regulated protein) (HURP)",2.25985100456466
"3080","CHOYP_FNTA.1.1|m.40996","P49354","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)",-2.32192809488736
"3106","CHOYP_LOC100218754.1.1|m.60778","Q14678","KN motif and ankyrin repeat domain-containing protein 1 (Ankyrin repeat domain-containing protein 15) (Kidney ankyrin repeat-containing protein)",2.32192809488736
"3117","CHOYP_LOC100374703.1.1|m.28348","Q8IV36","Protein HID1 (Down-regulated in multiple cancers 1) (HID1 domain-containing protein) (Protein hid-1 homolog)",-4.20442612236725
"3227","CHOYP_AKD1.2.3|m.49697","Q31DX5","Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)",-2.5852284379496
"3235","CHOYP_BRAFLDRAFT_117976.1.3|m.22767","P48593","Calcium-binding protein E63-1",3.0896936467371
"3252","CHOYP_BRAFLDRAFT_263840.1.1|m.51673","A2BFC9","Cilia- and flagella-associated protein 77",-2.04743388970235
"3274","CHOYP_DNAH12.2.3|m.32353","Q63170","Dynein heavy chain 7, axonemal (Axonemal beta dynein heavy chain 7) (Axonemal dynein heavy chain b) (Ciliary dynein heavy chain 7) (Dynein-like protein 7)",-4.4594316186373
"3280","CHOYP_EPRS.1.1|m.35443","Q8CGC7","Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]",-2.39795569343158
"3307","CHOYP_LOC100181607.1.2|m.36709","P72745","Universal stress protein Slr1101 (USP Slr1101)",-2
"3325","CHOYP_LOC100374249.1.1|m.58297","O14770","Homeobox protein Meis2 (Meis1-related protein 1)",2.25985100456466
"3346","CHOYP_LOC101068378.3.3|m.29759","Q8N2E2","von Willebrand factor D and EGF domain-containing protein",2.13460065205976
"3364","CHOYP_LOC754355.1.1|m.66745","A8SMG2","Testis-expressed protein 43",-2.26941239209809
"3410","CHOYP_AKT1.2.2|m.51125","Q8INB9","RAC serine/threonine-protein kinase (DAkt) (DRAC-PK) (Dakt1) (EC 2.7.11.1) (Akt) (Protein kinase B) (PKB)",-2
"3418","CHOYP_BRAFLDRAFT_117858.3.3|m.61651","Q5PPV2","Tektin-4",-2.10472668281448
"3420","CHOYP_BRAFLDRAFT_119906.1.1|m.45320","Q9CR41","Huntingtin-interacting protein K (Huntingtin yeast partner K)",-2.25985100456466
"3430","CHOYP_BRAFLDRAFT_226345.1.1|m.55555","Q9BXB4","Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)",3.0896936467371
"3480","CHOYP_ISCW_ISCW006091.2.2|m.61313","Q503Y7","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (EC 5.2.1.8) (Parvulin-14) (Par14) (Peptidyl-prolyl cis-trans isomerase Pin4) (PPIase Pin4) (Rotamase Pin4)",-2.70951129135145
"3496","CHOYP_LOC100366482.1.1|m.9777","Q8T773","Putative malate dehydrogenase 1B (EC 1.1.1.-)",-4.20442612236725
"3513","CHOYP_LOC100377173.1.2|m.37698","Q5PPV2","Tektin-4",-3.85798099512757
"3563","CHOYP_NEMVEDRAFT_V1G194582.1.2|m.11442","Q8WPW2","Pyridoxal 5'-phosphate synthase subunit SNZERR (PLP synthase subunit SNZERR) (EC 4.3.3.6) (Ethylene response protein) (PDX1)",3.41902258270291
"3592","CHOYP_STK31.1.1|m.16297","Q9BXU1","Serine/threonine-protein kinase 31 (EC 2.7.11.1) (Serine/threonine-protein kinase NYD-SPK) (Sugen kinase 396) (SgK396)",-2.25985100456466
"3619","CHOYP_BRAFLDRAFT_120826.1.1|m.56321","A1A4L0","Sorting nexin-4",2.25985100456466
"3625","CHOYP_BRAFLDRAFT_129759.2.2|m.30082","P86854","Perlucin-like protein",-2.4594316186373
"3642","CHOYP_BRAFLDRAFT_276474.1.1|m.6793","A1L259","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97) (Parahox neighbor) (Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase)",-2.25985100456466
"3673","CHOYP_EPS-8.1.1|m.17522","Q08509","Epidermal growth factor receptor kinase substrate 8",3.51294159473206
"3721","CHOYP_LOC100485485.1.1|m.27961","P86854","Perlucin-like protein",-3.90689059560852
"3737","CHOYP_LOC100889336.1.1|m.18327","Q6ZV65","Protein FAM47E",-2.70951129135145
"3738","CHOYP_LOC100891502.1.1|m.14627","Q3ZBD2","Actin-related protein 10",3.0896936467371
"3757","CHOYP_LOC657378.1.1|m.14648","Q08509","Epidermal growth factor receptor kinase substrate 8",-4.16992500144231
"3803","CHOYP_SC22B.1.1|m.62900","Q6P7L4","Vesicle-trafficking protein SEC22b (SEC22 vesicle-trafficking protein homolog B) (SEC22-like protein 1)",2.70951129135145
"3837","CHOYP_AGAP_AGAP004481.1.1|m.8676","Q9VVN2","Probable 28S ribosomal protein S26, mitochondrial (MRP-S26) (S26mt)",2.25985100456466
"3890","CHOYP_DFA_05420.1.1|m.25051","O42646","Ubiquitin-conjugating enzyme E2 6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 6) (Ubiquitin carrier protein 6) (Ubiquitin-protein ligase 6)",-2.16992500144231
"3923","CHOYP_LOC100176232.1.1|m.24645","Q5SSL4","Active breakpoint cluster region-related protein",2
"3969","CHOYP_LOC576665.1.2|m.10867","A6QQL5","Uncharacterized protein C2orf73 homolog",-3.41902258270291
"4030","CHOYP_SMP_149990.1.1.1|m.44960","Q0E908","Hillarin (D-Hillarin) (D-hil)",2.25985100456466
"4055","CHOYP_ACSL4.1.1|m.24576","Q9QUJ7","Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4)",-4.20442612236725
"4079","CHOYP_BRAFLDRAFT_279625.1.1|m.51890","P41636","4-coumarate--CoA ligase (4CL) (EC 6.2.1.12) (4-coumaroyl-CoA synthase)",2.33557547735863
"4102","CHOYP_CPIB.3.3|m.46138","Q65YR8","Cystatin-A1",-2.25985100456466
"4127","CHOYP_ISCW_ISCW017707.1.1|m.58329","Q9Y2H1","Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)",2.70951129135145
"4144","CHOYP_LOC100371248.2.2|m.48460","Q9H2M3","S-methylmethionine--homocysteine S-methyltransferase BHMT2 (SMM-hcy methyltransferase) (EC 2.1.1.10) (Betaine--homocysteine S-methyltransferase 2)",3.0896936467371
"4163","CHOYP_LOC100632832.1.1|m.45608","Q9ET47","Espin (Ectoplasmic specialization protein)",-2.25985100456466
"4168","CHOYP_LOC100705966.1.1|m.45957","P02504","Alpha-crystallin A chain",2.51294159473206
"4171","CHOYP_LOC100752270.1.1|m.23081","Q5RCU5","Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189)",-4.41902258270291
