"","Protein.ID","Uniprot","Protein.names","fc5"
"17","CHOYP_BRAFLDRAFT_221898.1.2|m.28353","Q68CZ1","Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)",-2.25985100456466
"575","CHOYP_AT1.1.1|m.66793","Q9Y345","Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)",2
"631","CHOYP_ISCW_ISCW000704.1.1|m.38250","Q08E52","Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)",-2.90689059560852
"643","CHOYP_LOC100175867.1.1|m.48982","P05099","Cartilage matrix protein (Matrilin-1)",3.0896936467371
"720","CHOYP_NFKB.1.1|m.51558","Q04861","Nuclear factor NF-kappa-B p105 subunit (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]",-2.4594316186373
"792","CHOYP_BRAFLDRAFT_91394.1.1|m.16068","Q9CQF9","Prenylcysteine oxidase (EC 1.8.3.5)",-3.70951129135145
"803","CHOYP_CPIPJ_CPIJ016910.1.1|m.62713","P07686","Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A]",-2.25985100456466
"811","CHOYP_DPSE_GA17283.3.3|m.59446","O95428","Papilin",3.24792751344359
"919","CHOYP_NEMVEDRAFT_V1G237881.1.1|m.10098","Q5C9L6","(S)-coclaurine N-methyltransferase (TfCNMT) (EC 2.1.1.140)",2.25985100456466
"942","CHOYP_RN213.4.13|m.27716","A0A0R4IBK5","E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)",-4.96936229591612
"954","CHOYP_TPM.7.19|m.15554","Q99020","Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (CArG-binding factor-A) (CBF-A)",4.55458885167764
"969","CHOYP_ABI2.2.2|m.65629","Q9QZM5","Abl interactor 1 (Abelson interactor 1) (Abi-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (e3B1)",-3.0896936467371
"982","CHOYP_BRAFLDRAFT_128029.1.1|m.63515","Q2TBS4","Protein pitchfork",-2.25985100456466
"994","CHOYP_BRAFLDRAFT_63459.2.3|m.27933","P42674","Blastula protease 10 (EC 3.4.24.-)",-2.19897784671579
"1005","CHOYP_CALM.50.50|m.67046","P05935","Calmodulin (CaM) (Fragment)",2.25985100456466
"1064","CHOYP_LOC100375888.1.1|m.18951","Q8K370","Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-)",-2.70043971814109
"1073","CHOYP_LOC100378967.1.1|m.62298","B0BM24","Protein FAM161A",2.25985100456466
"1082","CHOYP_LOC100698013.1.1|m.5420","P83425","Heavy metal-binding protein HIP",-2.25985100456466
"1128","CHOYP_PPIG.1.1|m.63308","P30414","NK-tumor recognition protein (NK-TR protein) (Natural-killer cells cyclophilin-related protein) [Includes: Putative peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase)]",-3.0896936467371
"1132","CHOYP_RAB35.1.1|m.8277","Q5U316","Ras-related protein Rab-35",-2.25985100456466
"1154","CHOYP_UBA6.4.4|m.63770","A7THV5","Adenylyltransferase and sulfurtransferase UBA4 (Ubiquitin-like protein activator 4) [Includes: Adenylyltransferase UBA4 (EC 2.7.7.-); Sulfurtransferase UBA4 (EC 2.8.1.-)]",2
"1157","CHOYP_UBL5.3.5|m.41673","Q791B0","Ubiquitin-like protein 5 (Beacon protein)",-2.25985100456466
"1295","CHOYP_MEF2A.1.1|m.21731","Q55F37","Transcription factor mef2A (Myocyte enhancer factor 2A) (Serum factor response C)",-2
"1304","CHOYP_NEMVEDRAFT_V1G86312.1.1|m.10844","Q9Y6J8","Serine/threonine/tyrosine-interacting-like protein 1 (Dual specificity phosphatase inhibitor MK-STYX) (Dual specificity protein phosphatase 24) (Map kinase phosphatase-like protein MK-STYX)",-3.0896936467371
"1308","CHOYP_PARN.1.1|m.19023","Q90ZA1","Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Deadenylating nuclease) (Deadenylation nuclease) (Polyadenylate-specific ribonuclease) (parn-A)",-2.70951129135145
"1390","CHOYP_CPIPJ_CPIJ007723.3.4|m.30316","Q6GL69","MKI67 FHA domain-interacting nucleolar phosphoprotein-like",-2
"1394","CHOYP_DANA_GF20914.1.1|m.14747","Q5ZLY5","Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2)",-3.0896936467371
"1398","CHOYP_DSIM_GD13354.1.1|m.6235","O75489","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",2.8073549220576
"1401","CHOYP_EF-1A.9.9|m.63037","Q6DFM1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1",2.25985100456466
"1412","CHOYP_HOW.5.5|m.58452","Q75GR5","KH domain-containing protein SPIN1 (SPL11-interacting protein 1)",-2.16992500144231
"1419","CHOYP_ISCW_ISCW006831.1.1|m.23820","Q7ZVR8","Epithelial splicing regulatory protein 2 (RNA-binding motif protein 35B) (RNA-binding protein 35B)",-2.25985100456466
"1429","CHOYP_K0020.1.1|m.1673","Q562C7","Pumilio homolog 3",-2.70951129135145
"1434","CHOYP_LOC100118811.1.1|m.57633","P97526","Neurofibromin (Neurofibromatosis-related protein NF-1)",-2.70951129135145
"1442","CHOYP_LOC100366577.1.2|m.17884","Q9NRG9","Aladin (Adracalin)",-2.25985100456466
"1473","CHOYP_LOC101072178.1.1|m.65566","Q6PCJ9","Lysosomal thioesterase PPT2-A (PPT-2-A) (EC 3.1.2.-)",-2.25985100456466
"1478","CHOYP_LOC564392.1.1|m.29701","Q92485","Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b) (EC 3.1.4.-)",2.70951129135145
"1522","CHOYP_SF3B5.1.1|m.12205","Q9VHI4","Probable splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit)",-2.25985100456466
"1524","CHOYP_SMP_012720.1.2|m.31152","Q21624","Coronin-like protein cor-1",2.17884049053337
"1568","CHOYP_BCKD.2.2|m.60038","O14874","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)",-2.70951129135145
"1579","CHOYP_BRAFLDRAFT_153908.1.2|m.1377","Q6ZT07","TBC1 domain family member 9 (TBC1 domain family member 9A)",2.70951129135145
"1657","CHOYP_LOC100378255.1.1|m.63185","Q8NHU2","Cilia- and flagella-associated protein 61",2.32192809488736
"1678","CHOYP_LOC373275.6.7|m.57854","P41386","Tubulin beta chain (Beta-tubulin) (Fragment)",3.16992500144231
"1817","CHOYP_ISCW_ISCW001487.2.2|m.61505","Q96DR7","Rho guanine nucleotide exchange factor 26 (SH3 domain-containing guanine exchange factor)",-2.25985100456466
"1820","CHOYP_KPRB.1.1|m.17501","O08618","Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41)",2.25985100456466
"1829","CHOYP_LOC100217869.1.2|m.29774","Q5RAA7","Pre-mRNA 3'-end-processing factor FIP1 (FIP1-like 1 protein)",-2.25985100456466
"1854","CHOYP_LOC100377173.1.2|m.37699","P04792","Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)",-3.32192809488736
"1855","CHOYP_LOC100377323.1.1|m.23683","D4GU72","Low-salt glycan biosynthesis protein Agl12 (EC 4.2.1.-)",-3.0896936467371
"1881","CHOYP_LOC576698.1.1|m.32335","Q3V096","Ankyrin repeat domain-containing protein 42",2.70951129135145
"1910","CHOYP_NUP214.3.3|m.52826","Q80U93","Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214)",-3.96936229591612
"1975","CHOYP_BRAFLDRAFT_123636.1.1|m.16162","Q8C0J2","Autophagy-related protein 16-1 (APG16-like 1)",2.25985100456466
"1983","CHOYP_BRAFLDRAFT_205095.2.2|m.62915","Q99L04","Dehydrogenase/reductase SDR family member 1 (EC 1.1.-.-)",-2.25985100456466
"2027","CHOYP_HSP7D.2.3|m.34785","Q3T022","Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p18)",-2.70951129135145
"2092","CHOYP_LOC373274.1.1|m.29721","Q8N0N3","Beta-1,3-glucan-binding protein (GBP)",2.16992500144231
"2113","CHOYP_MP2K6.1.1|m.38188","P52564","Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)",-2.25985100456466
"2124","CHOYP_ODH.2.2|m.16624","Q8N0N9","Opine dehydrogenase (EC 1.5.1.-)",-2.4594316186373
"2165","CHOYP_ACT1.4.7|m.29125","P02578","Actin-1",4.41902258270291
"2181","CHOYP_BRAFLDRAFT_118789.2.3|m.59829","P52758","Ribonuclease UK114 (EC 3.1.-.-) (14.5 kDa translational inhibitor protein) (p14.5) (Heat-responsive protein 12) (UK114 antigen homolog)",-2.25985100456466
"2189","CHOYP_BRAFLDRAFT_126506.1.1|m.60629","O02373","UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22) (Protein sugarless) (Protein suppenkasper)",-2
"2218","CHOYP_CO2A1.1.1|m.62996","P02466","Collagen alpha-2(I) chain (Alpha-2 type I collagen)",2.25985100456466
"2240","CHOYP_GOGB1.1.2|m.26408","Q27421","Protein outspread",-2.25985100456466
"2250","CHOYP_LEMD3.1.1|m.56975","Q9Y2U8","Inner nuclear membrane protein Man1 (LEM domain-containing protein 3)",2.25985100456466
"2323","CHOYP_LOC659206.6.6|m.43541","P02466","Collagen alpha-2(I) chain (Alpha-2 type I collagen)",2
"2341","CHOYP_NEMVEDRAFT_V1G188927.1.1|m.17076","O05389","Uncharacterized oxidoreductase YrbE (EC 1.-.-.-)",-2.25985100456466
"2349","CHOYP_PNCB.1.1|m.57201","Q9VQX4","Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)",2
"2395","CHOYP_ANR40.1.1|m.1429","Q5SUE8","Ankyrin repeat domain-containing protein 40",-2.70951129135145
"2420","CHOYP_CALX.1.1|m.12010","Q5R440","Calnexin",2.4594316186373
"2430","CHOYP_CUL3B.1.1|m.61643","Q6GPF3","Cullin-3-B (CUL-3-B)",-3.41902258270291
"2439","CHOYP_FAT1.4.4|m.63315","Q6V0I7","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)",-2.25985100456466
"2441","CHOYP_FLNA.2.6|m.11845","Q9VEN1","Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Filamin-1) (Filamin1)",-4.59365490780877
"2448","CHOYP_IF4G2.1.1|m.62766","Q62448","Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Novel APOBEC-1 target 1) (Translation repressor NAT1) (p97)",-2
"2456","CHOYP_KPC1.2.2|m.37402","Q16974","Calcium-dependent protein kinase C (EC 2.7.11.13) (APL I)",-3.0896936467371
"2466","CHOYP_LOC100329062.2.2|m.39235","Q9CS74","Protein ecdysoneless homolog",-2.70951129135145
"2503","CHOYP_LOC100708024.1.2|m.7177","Q8VC31","Coiled-coil domain-containing protein 9",4.41902258270291
"2528","CHOYP_LOC754557.2.2|m.22904","Q6DF62","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17)",-2
"2583","CHOYP_STIP1.2.2|m.54723","Q9USI5","Heat shock protein sti1 homolog",-3.34834002834265
"2592","CHOYP_TTC4.1.1|m.16365","O95801","Tetratricopeptide repeat protein 4 (TPR repeat protein 4)",2.25985100456466
"2652","CHOYP_DLL4.1.1|m.40197","D3ZHH1","Delta-like protein 4 (Drosophila Delta homolog 4) (Delta4)",-2.70951129135145
"2661","CHOYP_GNA1.1.1|m.39198","Q9VAI0","Probable glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase)",-3.41902258270291
"2741","CHOYP_NAA25.1.1|m.11255","Q14CX7","N-alpha-acetyltransferase 25, NatB auxiliary subunit (Mitochondrial distribution and morphology protein 20) (N-terminal acetyltransferase B complex subunit MDM20) (NatB complex subunit MDM20) (N-terminal acetyltransferase B complex subunit NAA25) (p120)",-3.0896936467371
"2744","CHOYP_NED4L.1.1|m.7792","Q62940","E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)",-2.25985100456466
"2791","CHOYP_AAEL_AAEL003539.1.1|m.16619","Q8BHJ5","F-box-like/WD repeat-containing protein TBL1XR1 (Nuclear receptor corepressor/HDAC3 complex subunit TBLR1) (TBL1-related protein 1) (Transducin beta-like 1X-related protein 1)",-2.16992500144231
"2792","CHOYP_AAEL_AAEL009187.1.1|m.25730","A6NGD5","Putative zinc finger and SCAN domain-containing protein 5C (Zinc finger and SCAN domain-containing protein 5C pseudogene)",3.0896936467371
"2810","CHOYP_BRAFLDRAFT_262219.2.2|m.65564","Q99JW2","Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)",2.16992500144231
"2827","CHOYP_CA2.1.1|m.27846","Q8UWA5","Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)",-3.96936229591612
"2846","CHOYP_DWIL_GK17319.1.1|m.58968","Q90879","Ubiquitin-conjugating enzyme E2 variant 1 (UEV-1) (CROC-1B)",-2.70951129135145
"2941","CHOYP_LOC654994.1.1|m.39461","Q9VLN1","WD repeat-containing protein 82",-2
"2946","CHOYP_LOC663518.1.1|m.11968","Q8NDT2","Putative RNA-binding protein 15B (One-twenty two protein 3) (HuOTT3) (RNA-binding motif protein 15B)",-2.25985100456466
"3004","CHOYP_UBP24.1.1|m.54945","Q9UPU5","Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)",3.41902258270291
"3022","CHOYP_AGAP_AGAP004868.1.1|m.60336","O43399","Tumor protein D54 (hD54) (Tumor protein D52-like 2)",-2.09590327428938
"3034","CHOYP_BRAFLDRAFT_123537.2.2|m.50531","Q9UIF3","Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)",-3.41902258270291
"3059","CHOYP_CBP.2.4|m.11401","P34545","Protein cbp-1 (EC 2.3.1.48)",2.25985100456466
"3103","CHOYP_LOC100119577.1.1|m.47861","Q60676","Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PPT)",-4.20442612236725
"3212","CHOYP_UBL4A.2.2|m.18059","A4QND0","Ubiquitin-like protein 4A",-2.70951129135145
"3288","CHOYP_GLIPR1L1.1.1|m.41745","Q7T141","Peptidase inhibitor 15-A",2.16992500144231
"3403","CHOYP_UFL1.1.1|m.20000","Q4R367","E3 UFM1-protein ligase 1 (EC 6.3.2.-)",-2.25985100456466
"3416","CHOYP_BRAFLDRAFT_108792.4.5|m.45892","P0C6F1","Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2)",-2
"3442","CHOYP_CDK13.1.1|m.59965","Q9NYV4","Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)",-2.32192809488736
"3454","CHOYP_DDX21.1.2|m.3695","Q99MJ9","ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2)",-3.96936229591612
"3472","CHOYP_GNAQ.1.1|m.20698","O15975","Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q)",2
"3570","CHOYP_PAN2.1.1|m.44693","Q92193","Actin (Fragment)",-3.64385618977472
"3618","CHOYP_BRAFLDRAFT_120058.1.1|m.9895","Q8WWB3","DPY30 domain-containing protein 1",-2.25985100456466
"3673","CHOYP_EPS-8.1.1|m.17522","Q08509","Epidermal growth factor receptor kinase substrate 8",2.06464150847248
"3763","CHOYP_MTNA.1.1|m.1717","Q16I17","Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)",-3.41902258270291
"3782","CHOYP_PHF5A.1.1|m.32389","P83871","PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)",-2.70951129135145
"3842","CHOYP_BIRA.1.1|m.18343","P0CI75","Bifunctional ligase/repressor BirA (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)",-2.25985100456466
"3866","CHOYP_BRAFLDRAFT_89362.1.1|m.49683","A2VDN6","Splicing factor 3A subunit 1",-3.41902258270291
"3898","CHOYP_DSIM_GD13062.1.1|m.3175","Q9NFP5","SH3 domain-binding glutamic acid-rich protein homolog (SH3BGR protein)",3.41902258270291
"3909","CHOYP_FUK.1.1|m.17020","Q8N0W3","L-fucose kinase (Fucokinase) (EC 2.7.1.52)",-2.70951129135145
"3993","CHOYP_NASP.4.4|m.56613","Q9USQ4","NASP-related protein sim3 (CENP-A escort protein sim3) (Silencing in the middle of the centromere protein 3)",2.8073549220576
"4000","CHOYP_NID2.1.2|m.5776","P31226","Saxiphilin (SAX)",-3.0896936467371
"4002","CHOYP_P4R3A.1.1|m.1043","Q5SP90","Serine/threonine-protein phosphatase 4 regulatory subunit 3 (SMEK homolog 1)",-2.58496250072116
"4028","CHOYP_SMP_039300.1.1|m.1202","F7H9X2","Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING-type E3 ubiquitin transferase TRIM2)",-3.41902258270291
"4083","CHOYP_BRAFLDRAFT_57552.1.1|m.8199","Q9R1C7","Pre-mRNA-processing factor 40 homolog A (Formin-binding protein 11) (FBP-11) (Formin-binding protein 3)",-2.32192809488736
"4167","CHOYP_LOC100704819.1.2|m.14210","P50162","Tropinone reductase 1 (EC 1.1.1.206) (Tropine dehydrogenase) (Tropinone reductase I) (TR-I)",3.0896936467371
"4168","CHOYP_LOC100705966.1.1|m.45957","P02504","Alpha-crystallin A chain",2.09590327428938
"4179","CHOYP_LOC584095.1.1|m.6815","Q9DE46","DNA polymerase alpha catalytic subunit (EC 2.7.7.7) (DNA polymerase alpha catalytic subunit p180)",-2.70951129135145
"4190","CHOYP_MONBRDRAFT_34536.1.1|m.30219","A0KDV2","L-rhamnonate dehydratase (RhamD) (EC 4.2.1.90)",-3.41902258270291
"4254","CHOYP_AGAP_AGAP002739.3.5|m.47030","P82279","Protein crumbs homolog 1",-3.0896936467371
"4267","CHOYP_BRAFLDRAFT_116988.1.3|m.3947","P56941","Niemann-Pick C1 protein",-2.25985100456466
"4281","CHOYP_BRAFLDRAFT_275517.1.1|m.9720","Q2HJ56","Periodic tryptophan protein 1 homolog",-2.25985100456466
"4330","CHOYP_IFT57.1.1|m.13249","Q5EA95","Intraflagellar transport protein 57 homolog",-3.0896936467371
"4364","CHOYP_LOC100377267.1.1|m.49876","A2BG43","Glycolipid transfer protein (GLTP)",3.41902258270291
"4381","CHOYP_LOC100889564.1.1|m.17149","Q6DF46","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Coenzyme Q10 monooxygenase 6)",-3.0896936467371
"4395","CHOYP_LOC580670.5.6|m.34028","P98072","Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain]",2.25985100456466
"4440","CHOYP_RPA12.1.1|m.48818","Q9DCG9","Multifunctional methyltransferase subunit TRM112-like protein (tRNA methyltransferase 112 homolog)",-2.70951129135145
"4498","CHOYP_BRAFLDRAFT_202318.1.1|m.4330","Q5R7H0","Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial (EC 1.2.4.2) (Dehydrogenase E1 and transketolase domain-containing protein 1)",-2
"4501","CHOYP_BRAFLDRAFT_208436.22.32|m.59131","Q8K0U4","Heat shock 70 kDa protein 12A",-2.70951129135145
"4530","CHOYP_DKC1.1.1|m.10978","Q9ESX5","H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)",-2.16992500144231
"4574","CHOYP_LOC100372879.1.3|m.18886","P18142","cAMP-regulated D2 protein",-2.25985100456466
"4595","CHOYP_LOC100533284.1.2|m.25143","F1M7Y5","Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (aPKC-lambda/iota) (nPKC-iota)",-3.0896936467371
"4608","CHOYP_LOC100769755.1.1|m.59793","Q8IV20","Laccase domain-containing protein 1 (Fatty acid metabolism-immunity nexus)",-2.25985100456466
"4709","CHOYP_CALM.22.50|m.31010","P62154","Calmodulin (CaM)",2.58496250072116
"4789","CHOYP_LOC100656236.1.1|m.27240","Q8HY12","C-type lectin domain family 4 member M (CD209 antigen-like protein 1) (CD antigen CD299)",-3.41902258270291
"4861","CHOYP_SSPO.6.14|m.26542","Q2PC93","SCO-spondin",-3.32192809488736
"4914","CHOYP_BRAFLDRAFT_59863.1.1|m.24545","O70439","Syntaxin-7",-3.0896936467371
"4933","CHOYP_CNDP2.4.4|m.56870","A8F095","Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)",-2.05510864000976
"4969","CHOYP_KDM5A.1.1|m.51935","P29375","Lysine-specific demethylase 5A (EC 1.14.11.-) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2)",-3.0896936467371
"4997","CHOYP_LOC100373864.2.2|m.55132","E3Q897","Probable Xaa-Pro aminopeptidase GLRG_02280 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Prolidase)",2.04280378682109
"5017","CHOYP_LOC100863920.1.1|m.40408","B0W6M9","Leucine-rich repeat protein soc-2 homolog (Protein Sur-8 homolog) (Protein soc-2 homolog)",-2.70951129135145
"5099","CHOYP_VPS25.1.1|m.66093","Q6NWF4","Vacuolar protein-sorting-associated protein 25 (ESCRT-II complex subunit VPS25)",-2.25985100456466
"5123","CHOYP_BRAFLDRAFT_88506.1.1|m.64174","Q3SX22","BSD domain-containing protein 1",-2.70951129135145
"5128","CHOYP_CAN5.1.1|m.42243","P80404","4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",-2.04743388970235
"5168","CHOYP_LOC100118291.1.1|m.54817","Q5M824","SHC-transforming protein 1 (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1)",2.25985100456466
"5198","CHOYP_LOC100378099.1.1|m.22677","P81942","Glutathione S-transferase P 1 (EC 2.5.1.18) (BBGSTP1-1) (GST class-pi)",2.70043971814109
