"","Protein.ID","Uniprot","Protein.names","fc7"
"39","CHOYP_DGRI_GH20300.1.1|m.57587","Q63ZH8","Protein FAM136A",-2.4594316186373
"529","CHOYP_NRDC.1.1|m.28526","Q8BHG1","Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase)",-2.25985100456466
"605","CHOYP_C1QL4L.3.7|m.5968","Q86Z23","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)",-2.4594316186373
"609","CHOYP_CNOT2.1.2|m.47530","Q9NZN8","CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2)",-3.0896936467371
"685","CHOYP_LOC100641267.2.2|m.57947","Q829L6","Ectoine dioxygenase (EC 1.14.11.-) (Ectoine hydroxylase)",-2.70951129135145
"691","CHOYP_LOC100877689.1.2|m.14376","Q9ERG0","LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm) (mEPLIN)",2.70043971814109
"698","CHOYP_LOC101077542.1.1|m.58180","Q26636","Cathepsin L (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain]",2
"731","CHOYP_PSME4.1.1|m.18992","Q6NRP2","Proteasome activator complex subunit 4 (Proteasome activator PA200)",-2
"749","CHOYP_TBB.5.7|m.60062","P38552","Galectin-4 (Gal-4) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)",-3.41902258270291
"751","CHOYP_TBCD.1.2|m.35202","Q9BTW9","Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D)",-2.16992500144231
"761","CHOYP_contig_026700|m.30399","Q61554","Fibrillin-1 [Cleaved into: Asprosin]",3.32192809488736
"784","CHOYP_BRAFLDRAFT_211853.1.1|m.18681","Q1JQA5","Neudesin (Neuron-derived neurotrophic factor) (SCIRP10-related protein) (Spinal cord injury-related protein 10)",-3.96936229591612
"792","CHOYP_BRAFLDRAFT_91394.1.1|m.16068","Q9CQF9","Prenylcysteine oxidase (EC 1.8.3.5)",-3.70951129135145
"805","CHOYP_CTND2.1.1|m.12206","P98203","Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog",-2
"844","CHOYP_LOC100368394.1.2|m.22888","Q5T0N1","Cilia- and flagella-associated protein 70 (Tetratricopeptide repeat protein 18) (TPR repeat protein 18)",-2.58496250072116
"848","CHOYP_LOC100369302.1.3|m.6808","Q8IX29","F-box only protein 16",2.25985100456466
"851","CHOYP_LOC100370516.1.1|m.29182","B1H1E4","E3 ubiquitin-protein ligase arih1 (EC 2.3.2.-) (Protein ariadne-1 homolog) (ARI-1) (RING-type E3 ubiquitin transferase arih1)",-3.41902258270291
"870","CHOYP_LOC100378414.1.1|m.34038","B4PZ52","NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",-3.41902258270291
"873","CHOYP_LOC100378691.2.2|m.40118","Q2KI56","COP9 signalosome complex subunit 7b (SGN7b) (Signalosome subunit 7b)",-4.61643218977614
"889","CHOYP_LOC100902807.1.4|m.12152","Q28106","Contactin-1 (Neural cell surface protein F3)",-2.70951129135145
"917","CHOYP_NEMVEDRAFT_V1G198667.14.15|m.61843","Q9JI18","Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT)",-2.25985100456466
"1067","CHOYP_LOC100376857.1.7|m.30171","Q5N7A3","Laccase-6 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 6) (Diphenol oxidase 6) (Urishiol oxidase 6)",-2.4594316186373
"1091","CHOYP_LOC101064793.1.1|m.27191","Q99471","Prefoldin subunit 5 (C-Myc-binding protein Mm-1) (Myc modulator 1)",-2.32192809488736
"1118","CHOYP_NEMVEDRAFT_V1G242153.2.4|m.15572","Q57951","Universal stress protein MJ0531 (USP MJ0531)",3.0896936467371
"1134","CHOYP_RHG17.1.2|m.32099","Q9CYH6","Ribosome biogenesis regulatory protein homolog",2.70951129135145
"1189","CHOYP_BRAFLDRAFT_265208.6.7|m.52336","Q91WV7","Neutral and basic amino acid transport protein rBAT (Solute carrier family 3 member 1) (b(0,+)-type amino acid transport protein) (NBAT)",2.25985100456466
"1248","CHOYP_LOC100370989.2.2|m.37995","P62489","DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G)",2.70951129135145
"1254","CHOYP_LOC100375747.1.1|m.36999","Q9P209","Centrosomal protein of 72 kDa (Cep72)",-2.25985100456466
"1264","CHOYP_LOC100678100.1.1|m.14602","B4U7S7","Probable transcriptional regulatory protein HY04AAS1_0501",-2
"1293","CHOYP_LOC656702.1.1|m.14425","Q13045","Protein flightless-1 homolog",-3.0896936467371
"1319","CHOYP_RBMX.1.1|m.26723","Q7ZWA3","RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G)",-2.16992500144231
"1334","CHOYP_WDR63.1.1|m.21743","Q8IWG1","WD repeat-containing protein 63 (Testis development protein NYD-SP29)",-3.70951129135145
"1371","CHOYP_BRAFLDRAFT_76885.1.1|m.20259","P86789","Gigasin-6",2.70951129135145
"1382","CHOYP_CA14.1.1|m.30677","Q9ULX7","Carbonic anhydrase 14 (EC 4.2.1.1) (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV)",-2.25985100456466
"1398","CHOYP_DSIM_GD13354.1.1|m.6235","O75489","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",2.56618906572812
"1429","CHOYP_K0020.1.1|m.1673","Q562C7","Pumilio homolog 3",-3.41902258270291
"1431","CHOYP_KC1D.1.3|m.12297","Q6P3K7","Casein kinase I isoform delta-B (CKI-delta-B) (CKId-B) (EC 2.7.11.1)",-2.25985100456466
"1434","CHOYP_LOC100118811.1.1|m.57633","P97526","Neurofibromin (Neurofibromatosis-related protein NF-1)",2
"1436","CHOYP_LOC100178081.1.1|m.56365","O18334","Ras-related protein Rab6 (Protein warthog)",-3.0896936467371
"1481","CHOYP_LOC579737.1.1|m.14356","Q64350","Translation initiation factor eIF-2B subunit epsilon (eIF-2B GDP-GTP exchange factor subunit epsilon)",-2.32192809488736
"1516","CHOYP_PPT2A.1.2|m.30339","Q6PCJ9","Lysosomal thioesterase PPT2-A (PPT-2-A) (EC 3.1.2.-)",2.70951129135145
"1521","CHOYP_RLA0.3.7|m.42195","O75689","Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25)",-2.16992500144231
"1523","CHOYP_SMG7.1.1|m.21983","Q5RJH6","Protein SMG7 (EST1-like protein C) (SMG-7 homolog)",-2.25985100456466
"1550","CHOYP_2A5D.3.3|m.37716","Q28653","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A B subunit isoform B'-delta) (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-delta) (PP2A B subunit isoform PR61-delta) (PP2A B subunit isoform R5-delta)",-2.39795569343158
"1580","CHOYP_BRAFLDRAFT_200206.1.1|m.35419","Q96AB6","Protein N-terminal asparagine amidohydrolase (EC 3.5.1.-) (Protein NH2-terminal asparagine amidohydrolase) (PNAA) (Protein NH2-terminal asparagine deamidase) (PNAD) (Protein N-terminal Asn amidase) (Protein N-terminal asparagine amidase) (Protein NTN-amidase)",-3.0896936467371
"1593","CHOYP_BRAFLDRAFT_89746.1.2|m.29425","Q9R172","Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain]",-2.04280378682109
"1650","CHOYP_LOC100374685.1.1|m.16061","Q5M8Z2","Protein preY, mitochondrial",-2.70951129135145
"1678","CHOYP_LOC373275.6.7|m.57854","P41386","Tubulin beta chain (Beta-tubulin) (Fragment)",-2.43411499853921
"1694","CHOYP_MCM5.1.1|m.48534","P55862","DNA replication licensing factor mcm5-A (xMCM5-A) (EC 3.6.4.12) (CDC46 homolog A) (xCDC46-A) (CDC46p) (p92)",-5.55236875772286
"1721","CHOYP_RFC3.1.1|m.48357","Q8R323","Replication factor C subunit 3 (Activator 1 38 kDa subunit) (A1 38 kDa subunit) (Activator 1 subunit 3) (Replication factor C 38 kDa subunit) (RF-C 38 kDa subunit) (RFC38)",-2.25985100456466
"1752","CHOYP_VATG.1.2|m.4407","Q25532","V-type proton ATPase subunit G (V-ATPase subunit G) (V-ATPase 13 kDa subunit) (Vacuolar proton pump subunit G)",-2.4594316186373
"1804","CHOYP_DANA_GF15955.1.1|m.44177","Q66KY3","Protein CutA homolog",-2.25985100456466
"1839","CHOYP_LOC100369985.1.1|m.35628","A6NNX1","RIIa domain-containing protein 1",2.4594316186373
"1841","CHOYP_LOC100371248.1.2|m.10238","Q49775","Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12 dependent) (MS)",-5.41902258270291
"1881","CHOYP_LOC576698.1.1|m.32335","Q3V096","Ankyrin repeat domain-containing protein 42",-2.25985100456466
"1937","CHOYP_SH3KBP1.1.1|m.30545","Q96B97","SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)",2.70951129135145
"1980","CHOYP_BRAFLDRAFT_129885.2.2|m.34895","P34552","Apoptosis-linked gene 2-interacting protein X 1 (Prion-like-(Q/N-rich) domain-bearing protein 58) (Protein YNK1)",5.67887358726757
"1988","CHOYP_BRAFLDRAFT_276226.2.2|m.64449","Q5R806","Prostaglandin reductase 2 (PRG-2) (EC 1.3.1.48) (15-oxoprostaglandin 13-reductase)",-3.0896936467371
"1997","CHOYP_BRAFLDRAFT_84838.3.6|m.42355","Q460N5","Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (B aggressive lymphoma protein 2)",-4.20442612236725
"1999","CHOYP_BRD8.1.1|m.244","Q8R3B7","Bromodomain-containing protein 8",-2.25985100456466
"2010","CHOYP_CPIPJ_CPIJ004840.1.1|m.3309","Q5EA45","FAD-dependent oxidoreductase domain-containing protein 1 (EC 1.-.-.-)",-2.25985100456466
"2022","CHOYP_FL2D.1.1|m.62439","Q7SXL7","Pre-mRNA-splicing regulator WTAP (Female-lethal(2)D homolog) (WT1-associated protein) (Wilms tumor 1-associating protein)",-2.25985100456466
"2053","CHOYP_LOC100370154.1.2|m.27385","Q9CZT8","Ras-related protein Rab-3B",-3.0896936467371
"2081","CHOYP_LOC100877335.1.1|m.8851","Q15911","Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3)",-3.0896936467371
"2105","CHOYP_LOC659398.1.1|m.9611","Q6NXG1","Epithelial splicing regulatory protein 1 (RNA-binding motif protein 35A) (RNA-binding protein 35A)",-2.4594316186373
"2134","CHOYP_RAS3.1.1|m.15706","Q640R7","Ras-related protein Rap-1b",-2.16992500144231
"2157","CHOYP_Y0777.3.3|m.60141","Q90369","Anosmin-1 (Kallmann syndrome protein homolog)",-2.12368201637836
"2218","CHOYP_CO2A1.1.1|m.62996","P02466","Collagen alpha-2(I) chain (Alpha-2 type I collagen)",-2.04280378682109
"2315","CHOYP_LOC582121.1.1|m.30176","P23034","Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)",-2.70951129135145
"2326","CHOYP_LOC724172.1.1|m.24081","Q9W4E2","Neurobeachin (A-kinase anchor protein 550) (AKAP 550) (Protein rugose) (dAKAP550)",2.12368201637836
"2347","CHOYP_PHUM_PHUM137710.1.1|m.19548","Q5ZJP5","Fibronectin type-III domain-containing protein 3a",2.32192809488736
"2354","CHOYP_PUS3.1.1|m.9880","Q9BZE2","tRNA pseudouridine(38/39) synthase (EC 5.4.99.45) (tRNA pseudouridine synthase 3) (tRNA pseudouridylate synthase 3) (tRNA-uridine isomerase 3)",-2.25985100456466
"2366","CHOYP_SRPK2.1.1|m.5002","O70551","SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)",-2
"2395","CHOYP_ANR40.1.1|m.1429","Q5SUE8","Ankyrin repeat domain-containing protein 40",-2.25985100456466
"2410","CHOYP_BRAFLDRAFT_223429.1.2|m.30136","Q13148","TAR DNA-binding protein 43 (TDP-43)",-3.0896936467371
"2439","CHOYP_FAT1.4.4|m.63315","Q6V0I7","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)",-2.25985100456466
"2500","CHOYP_LOC100641892.1.1|m.56601","P19623","Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)",-2.25985100456466
"2517","CHOYP_LOC580670.6.6|m.40875","B3EWZ6","MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2) (Fragment)",-2.25985100456466
"2539","CHOYP_NEMVEDRAFT_V1G106520.1.1|m.14881","P50532","Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome assembly protein XCAP-C) (Chromosome-associated protein C)",-2.25985100456466
"2567","CHOYP_PPWD1.1.1|m.48713","Q29RZ2","Peptidylprolyl isomerase domain and WD repeat-containing protein 1 (EC 5.2.1.8)",2.4594316186373
"2598","CHOYP_XRN2.1.1|m.13943","Q5ZIP4","5'-3' exoribonuclease 2 (EC 3.1.13.-)",-2.12368201637836
"2615","CHOYP_BRAFLDRAFT_117631.1.1|m.45793","Q99P25","Translin-associated factor X-interacting protein 1 (Trax-interacting protein 1)",-3.0896936467371
"2629","CHOYP_BRAFLDRAFT_57258.2.3|m.48328","Q53FA7","Quinone oxidoreductase PIG3 (EC 1.-.-.-) (Tumor protein p53-inducible protein 3) (p53-induced gene 3 protein)",-3.70951129135145
"2641","CHOYP_CBR-GLY-5.1.1|m.26441","Q95ZJ1","Polypeptide N-acetylgalactosaminyltransferase 5 (pp-GaNTase 5) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)",2.70951129135145
"2652","CHOYP_DLL4.1.1|m.40197","D3ZHH1","Delta-like protein 4 (Drosophila Delta homolog 4) (Delta4)",-3.41902258270291
"2658","CHOYP_FAF2.1.1|m.54271","P30568","Glutathione S-transferase A (GST-A) (EC 2.5.1.18) (GST class-theta)",2.70043971814109
"2698","CHOYP_LOC100492442.1.1|m.16466","Q08379","Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130) (GM130 autoantigen) (Golgin-95)",-3.70951129135145
"2827","CHOYP_CA2.1.1|m.27846","Q8UWA5","Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)",-2.4594316186373
"2832","CHOYP_CEP290.1.1|m.58767","O15078","Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2)",2
"2903","CHOYP_LOC100533537.1.1|m.36","Q921J2","GTP-binding protein Rheb (Ras homolog enriched in brain)",-2.70951129135145
"2936","CHOYP_LOC579946.7.24|m.39737","P22105","Tenascin-X (TN-X) (Hexabrachion-like protein)",-3.96936229591612
"2941","CHOYP_LOC654994.1.1|m.39461","Q9VLN1","WD repeat-containing protein 82",-2.25985100456466
"3004","CHOYP_UBP24.1.1|m.54945","Q9UPU5","Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)",-3.0896936467371
"3013","CHOYP_AACS.1.1|m.66267","Q28BL6","Acetoacetyl-CoA synthetase (EC 6.2.1.16)",2.25985100456466
"3054","CHOYP_BRAFLDRAFT_76176.1.1|m.55550","Q8NE28","Serine/threonine kinase-like domain-containing protein STKLD1 (Serine/threonine kinase-like domain-containing protein 1) (Sugen kinase 071)",2
"3102","CHOYP_LOC100117365.1.1|m.37817","Q5RA42","Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)",2
"3103","CHOYP_LOC100119577.1.1|m.47861","Q60676","Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PPT)",2
"3110","CHOYP_LOC100368661.1.1|m.60830","Q5F464","Lipoma-preferred partner homolog",-3.41902258270291
"3117","CHOYP_LOC100374703.1.1|m.28348","Q8IV36","Protein HID1 (Down-regulated in multiple cancers 1) (HID1 domain-containing protein) (Protein hid-1 homolog)",-2.70951129135145
"3126","CHOYP_LOC100533384.5.5|m.59083","Q5RA42","Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)",2
"3130","CHOYP_LOC100642349.1.1|m.53035","Q6DKB0","Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (Cytosolic 5'-nucleotidase II)",-2.32192809488736
"3167","CHOYP_MMS19.1.1|m.18650","Q0V9L1","MMS19 nucleotide excision repair protein homolog (MMS19-like protein)",-3.41902258270291
"3248","CHOYP_BRAFLDRAFT_226506.1.3|m.1062","Q5H8C4","Vacuolar protein sorting-associated protein 13A (Chorea-acanthocytosis protein homolog) (Chorein)",-2.18265833864414
"3331","CHOYP_LOC100377243.1.1|m.6500","Q8T880","Axonemal 84 kDa protein (Ci-AXP83.9) (p83.9)",3.0896936467371
"3416","CHOYP_BRAFLDRAFT_108792.4.5|m.45892","P0C6F1","Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2)",-3.0896936467371
"3442","CHOYP_CDK13.1.1|m.59965","Q9NYV4","Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)",-3.41902258270291
"3472","CHOYP_GNAQ.1.1|m.20698","O15975","Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q)",-3.0896936467371
"3483","CHOYP_ISCW_ISCW017350.1.1|m.11950","Q24537","High mobility group protein DSP1 (Protein dorsal switch 1)",-2.26941239209809
"3484","CHOYP_ISCW_ISCW023180.1.2|m.31255","Q8WXF0","Serine/arginine-rich splicing factor 12 (35 kDa SR repressor protein) (SRrp35) (Splicing factor, arginine/serine-rich 13B) (Splicing factor, arginine/serine-rich 19)",-3.0896936467371
"3496","CHOYP_LOC100366482.1.1|m.9777","Q8T773","Putative malate dehydrogenase 1B (EC 1.1.1.-)",-2.25985100456466
"3505","CHOYP_LOC100373522.5.5|m.54028","Q95230","Sperm surface protein Sp17 (Sperm autoantigenic protein 17)",-2.01612652020021
"3537","CHOYP_LOC413005.1.1|m.63172","Q6AYR2","Protein NDRG3 (N-myc downstream-regulated gene 3 protein)",-2
"3549","CHOYP_LOC659702.1.1|m.7231","P56377","AP-1 complex subunit sigma-2 (Adaptor protein complex AP-1 subunit sigma-1B) (Adaptor-related protein complex 1 subunit sigma-1B) (Clathrin assembly protein complex 1 sigma-1B small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1B subunit) (Sigma 1B subunit of AP-1 clathrin) (Sigma-adaptin 1B) (Sigma1B-adaptin)",-2.25985100456466
"3563","CHOYP_NEMVEDRAFT_V1G194582.1.2|m.11442","Q8WPW2","Pyridoxal 5'-phosphate synthase subunit SNZERR (PLP synthase subunit SNZERR) (EC 4.3.3.6) (Ethylene response protein) (PDX1)",-2.25985100456466
"3573","CHOYP_PHUM_PHUM454570.1.1|m.28665","Q3UHU5","Microtubule cross-linking factor 1 (Coiled-coil domain-containing protein 165) (PAR-1-interacting protein) (SOGA family member 2)",-2
"3597","CHOYP_UBC12.1.1|m.51806","Q6P8D9","NEDD8-conjugating enzyme Ubc12 (EC 6.3.2.-) (NEDD8 carrier protein) (NEDD8 protein ligase) (Ubiquitin-conjugating enzyme E2 M)",-2.70951129135145
"3640","CHOYP_BRAFLDRAFT_270672.1.1|m.25768","Q9Y617","Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)",-2.04280378682109
"3642","CHOYP_BRAFLDRAFT_276474.1.1|m.6793","A1L259","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97) (Parahox neighbor) (Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase)",-2.25985100456466
"3651","CHOYP_BRAFLDRAFT_88219.1.5|m.37187","O70277","Tripartite motif-containing protein 3 (Brain-expressed RING finger protein) (RING finger protein 22)",-2.25985100456466
"3660","CHOYP_CO1A1.1.1|m.32133","P39059","Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV) (Related to endostatin) (Restin-I); Restin-2 (Restin-II); Restin-3 (Restin-III); Restin-4 (Restin-IV)]",-3.70951129135145
"3668","CHOYP_DMBT1.15.34|m.29008","B3EWZ5","MAM and LDL-receptor class A domain-containing protein 1 (Skeletal organic matrix MAM and LDL-receptor 1) (SOM MAM and LDL-receptor 1) (Fragment)",-3.41902258270291
"3673","CHOYP_EPS-8.1.1|m.17522","Q08509","Epidermal growth factor receptor kinase substrate 8",-2.75647079736603
"3770","CHOYP_NEMVEDRAFT_V1G235461.1.1|m.28341","Q8MP06","Senecionine N-oxygenase (SNO) (EC 1.14.13.101)",-4.20442612236725
"3803","CHOYP_SC22B.1.1|m.62900","Q6P7L4","Vesicle-trafficking protein SEC22b (SEC22 vesicle-trafficking protein homolog B) (SEC22-like protein 1)",-3.41902258270291
"3817","CHOYP_THOC2.2.2|m.19049","B3EWZ5","MAM and LDL-receptor class A domain-containing protein 1 (Skeletal organic matrix MAM and LDL-receptor 1) (SOM MAM and LDL-receptor 1) (Fragment)",2.25985100456466
"3878","CHOYP_CEP63.2.2|m.35716","Q86X83","COMM domain-containing protein 2",-3.41902258270291
"3895","CHOYP_DNAH12.3.3|m.63246","Q63164","Dynein heavy chain 1, axonemal (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1)",2.32192809488736
"3966","CHOYP_LOC412116.1.1|m.42829","Q8BHN5","RNA-binding protein 45 (Developmentally-regulated RNA-binding protein 1) (RB-1) (RNA-binding motif protein 45)",-2.04921410567492
"3970","CHOYP_LOC577184.1.1|m.62005","B3EWY9","Mucin-like protein (Fragment)",-2.70951129135145
"4033","CHOYP_SRAP.16.18|m.58654","Q8K561","Otoancorin",-3.16992500144231
"4062","CHOYP_BRAFLDRAFT_108193.2.2|m.37878","Q86VX2","COMM domain-containing protein 7",2.25985100456466
"4114","CHOYP_H3.1.2|m.3829","P06353","Histone H3.3 (Fragment)",-2.04280378682109
"4127","CHOYP_ISCW_ISCW017707.1.1|m.58329","Q9Y2H1","Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)",2
"4144","CHOYP_LOC100371248.2.2|m.48460","Q9H2M3","S-methylmethionine--homocysteine S-methyltransferase BHMT2 (SMM-hcy methyltransferase) (EC 2.1.1.10) (Betaine--homocysteine S-methyltransferase 2)",-3.41902258270291
"4147","CHOYP_LOC100372505.1.2|m.10260","Q5FWT1","Protein FAM98A",2.16992500144231
"4148","CHOYP_LOC100373429.1.1|m.10007","F1P4W9","Cilia- and flagella-associated protein 65 (Coiled-coil domain-containing protein 108)",-4.20442612236725
"4150","CHOYP_LOC100374754.1.1|m.32299","Q8R0G9","Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)",-2.4594316186373
"4168","CHOYP_LOC100705966.1.1|m.45957","P02504","Alpha-crystallin A chain",2.19897784671579
"4172","CHOYP_LOC100883123.1.1|m.704","P62501","TSC22 domain family protein 1 (Regulatory protein TSC-22) (TGFB-stimulated clone 22 homolog) (Transforming growth factor beta-1-induced transcript 4 protein)",-2.25985100456466
"4209","CHOYP_PHUM_PHUM494500.1.1|m.9430","Q09024","Neural/ectodermal development factor IMP-L2",2.70951129135145
"4213","CHOYP_RB3GP.1.2|m.53902","Q642R9","Rab3 GTPase-activating protein catalytic subunit",2.70951129135145
"4224","CHOYP_SMP_149390.1.1|m.8819","Q8C419","Probable G-protein coupled receptor 158",2.25985100456466
"4228","CHOYP_SYWC.3.5|m.26200","Q8TUA1","Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)",2.25985100456466
"4247","CHOYP_1433G.2.2|m.63451","Q4R979","RNA-binding protein 4 (RNA-binding motif protein 4)",-2
