"","Protein.ID","Uniprot","Protein.names","fc9"
"605","CHOYP_C1QL4L.3.7|m.5968","Q86Z23","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)",4.41902258270291
"647","CHOYP_LOC100210677.8.8|m.43132","Q700K0","SCO-spondin",2.25985100456466
"671","CHOYP_LOC100374422.1.2|m.26376","Q9MBF8","Dynein-1-beta heavy chain, flagellar inner arm I1 complex (1-beta DHC) (Dynein-1, subspecies f)",-2.91844995960714
"692","CHOYP_LOC100907841.1.1|m.39986","Q26636","Cathepsin L (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain]",2.19897784671579
"698","CHOYP_LOC101077542.1.1|m.58180","Q26636","Cathepsin L (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain]",-2.70043971814109
"720","CHOYP_NFKB.1.1|m.51558","Q04861","Nuclear factor NF-kappa-B p105 subunit (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]",2.25985100456466
"772","CHOYP_ASSY.2.4|m.43713","Q66I24","Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)",-3.0896936467371
"805","CHOYP_CTND2.1.1|m.12206","P98203","Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog",-2.32192809488736
"811","CHOYP_DPSE_GA17283.3.3|m.59446","O95428","Papilin",2.71191944144785
"829","CHOYP_IVD.2.2|m.14522","P34275","Probable acyl-CoA dehydrogenase 6 (Probable isovaleryl-CoA dehydrogenase) (IVD) (EC 1.3.8.4)",-2.25985100456466
"836","CHOYP_LOC100168569.1.2|m.11752","Q13188","Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]",2.25985100456466
"848","CHOYP_LOC100369302.1.3|m.6808","Q8IX29","F-box only protein 16",-2.25985100456466
"877","CHOYP_LOC100564354.1.1|m.46361","Q9NQP4","Prefoldin subunit 4 (Protein C-1)",-2.70951129135145
"904","CHOYP_LOC658242.1.1|m.41709","Q9UQ03","Coronin-2B (Coronin-like protein C) (Clipin-C) (Protein FC96)",-3.41902258270291
"913","CHOYP_NEC1.1.1|m.63094","P28840","Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)",-2
"933","CHOYP_PSMD1.1.1|m.21683","Q99805","Transmembrane 9 superfamily member 2 (p76)",-2
"965","CHOYP_A4.3.3|m.22262","Q8IWZ8","SURP and G-patch domain-containing protein 1 (RNA-binding protein RBP) (Splicing factor 4)",-3.41902258270291
"1012","CHOYP_DANA_GF16638.1.1|m.10255","O01814","Fatty acid-binding protein homolog 5",-3.0896936467371
"1027","CHOYP_HACL1.1.1|m.6578","Q9UJ83","2-hydroxyacyl-CoA lyase 1 (EC 4.1.-.-) (2-hydroxyphytanoyl-CoA lyase) (2-HPCL) (Phytanoyl-CoA 2-hydroxylase 2)",-2.25985100456466
"1084","CHOYP_LOC100743492.1.1|m.58896","P49963","Signal recognition particle 19 kDa protein (SRP19)",2.25985100456466
"1090","CHOYP_LOC101062323.1.1|m.15918","P54106","Methylosome subunit pICln (Chloride conductance regulatory protein ICln) (I(Cln))",-2.25985100456466
"1114","CHOYP_MIB2.2.6|m.23029","O75762","Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120)",3.0896936467371
"1157","CHOYP_UBL5.3.5|m.41673","Q791B0","Ubiquitin-like protein 5 (Beacon protein)",2.25985100456466
"1159","CHOYP_WDR26.1.1|m.43030","Q28D01","WD repeat-containing protein 26",2.16992500144231
"1171","CHOYP_BICD2.1.1|m.9177","Q8BR07","Protein bicaudal D homolog 1 (Bic-D 1)",-2.19897784671579
"1264","CHOYP_LOC100678100.1.1|m.14602","B4U7S7","Probable transcriptional regulatory protein HY04AAS1_0501",-2
"1268","CHOYP_LOC100877947.1.1|m.51907","Q6PFX9","Tankyrase-1 (TANK1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 5) (ARTD5) (TRF1-interacting ankyrin-related ADP-ribose polymerase 1) (Tankyrase I)",-2.16992500144231
"1319","CHOYP_RBMX.1.1|m.26723","Q7ZWA3","RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G)",2.16992500144231
"1322","CHOYP_SCAM1.1.1|m.5509","Q8K021","Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)",-2.70951129135145
"1334","CHOYP_WDR63.1.1|m.21743","Q8IWG1","WD repeat-containing protein 63 (Testis development protein NYD-SP29)",-3.70951129135145
"1336","CHOYP_WIPI3.1.1|m.13956","Q5ZL16","WD repeat domain phosphoinositide-interacting protein 3 (WIPI-3) (WD repeat-containing protein 45B)",-2.25985100456466
"1348","CHOYP_ARF4.1.2|m.8401","P51644","ADP-ribosylation factor 4",-2.58496250072116
"1350","CHOYP_BPHL.1.1|m.55822","Q8R164","Valacyclovir hydrolase (VACVase) (Valacyclovirase) (EC 3.1.-.-) (Biphenyl hydrolase-like protein)",2.25985100456466
"1351","CHOYP_BRAFLDRAFT_114978.1.1|m.43775","Q5IFJ8","26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)",-2.25985100456466
"1374","CHOYP_BRAFLDRAFT_84237.1.1|m.1879","Q9BQG0","Myb-binding protein 1A",-2.25985100456466
"1398","CHOYP_DSIM_GD13354.1.1|m.6235","O75489","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",-2.56618906572812
"1429","CHOYP_K0020.1.1|m.1673","Q562C7","Pumilio homolog 3",2.25985100456466
"1434","CHOYP_LOC100118811.1.1|m.57633","P97526","Neurofibromin (Neurofibromatosis-related protein NF-1)",2
"1435","CHOYP_LOC100166353.1.1|m.4625","Q2NL00","Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1)",-2.25985100456466
"1441","CHOYP_LOC100366488.1.1|m.56518","Q7ZYG4","Osteoclast-stimulating factor 1",2
"1473","CHOYP_LOC101072178.1.1|m.65566","Q6PCJ9","Lysosomal thioesterase PPT2-A (PPT-2-A) (EC 3.1.2.-)",2.70951129135145
"1492","CHOYP_MIB1.2.4|m.35815","Q9BVR0","Putative HERC2-like protein 3",2.70951129135145
"1509","CHOYP_PDXDC1.1.1|m.11298","Q99K01","Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-)",-2.70951129135145
"1521","CHOYP_RLA0.3.7|m.42195","O75689","Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25)",-2
"1528","CHOYP_TMED7.2.3|m.28259","D3ZTX0","Transmembrane emp24 domain-containing protein 7 (p24 family protein gamma-3) (p24gamma3) (p27)",-2.25985100456466
"1588","CHOYP_BRAFLDRAFT_281480.1.1|m.22697","Q8IXY8","Peptidyl-prolyl cis-trans isomerase-like 6 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL6) (Rotamase PPIL6)",-2.70951129135145
"1648","CHOYP_LOC100373488.1.1|m.10129","P10088","Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (2,4-D dioxygenase) (EC 1.14.11.-)",-2.25985100456466
"1678","CHOYP_LOC373275.6.7|m.57854","P41386","Tubulin beta chain (Beta-tubulin) (Fragment)",-3
"1684","CHOYP_LOC586835.1.1|m.9967","Q96MU7","YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)",-2.58496250072116
"1726","CHOYP_RU2A.1.1|m.20848","P57784","U2 small nuclear ribonucleoprotein A' (U2 snRNP A')",-3.41902258270291
"1764","CHOYP_BRAFLDRAFT_113892.1.1|m.44055","P48508","Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit)",-2.70951129135145
"1775","CHOYP_BRAFLDRAFT_223476.1.1|m.30983","O35125","Leucine-rich repeat-containing protein 23 (Leucine-rich protein B7)",-2
"1776","CHOYP_BRAFLDRAFT_233674.1.1|m.66738","A5PLK2","Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (EC 3.1.3.-) (EC 3.6.1.1)",2.25985100456466
"1800","CHOYP_CPIPJ_CPIJ015079.1.1|m.39675","P42029","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (Complex I-PGIV) (CI-PGIV) (NADH-ubiquinone oxidoreductase 19 kDa subunit)",2.25985100456466
"1822","CHOYP_LOAG_05095.2.2|m.58023","Q9NJV4","Actin-1",-2.70951129135145
"1828","CHOYP_LOC100211409.1.1|m.4742","P04792","Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)",2.30719763481487
"1834","CHOYP_LOC100367356.1.1|m.29181","A4D263","Uncharacterized protein C7orf72",-3.41902258270291
"1837","CHOYP_LOC100367954.1.2|m.66390","Q9Y426","C2 domain-containing protein 2",2.25985100456466
"1854","CHOYP_LOC100377173.1.2|m.37699","P04792","Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)",2.70951129135145
"1981","CHOYP_BRAFLDRAFT_200527.1.1|m.601","Q8JIS3","D-erythrulose reductase (EC 1.1.1.162) (Probable L-xylulose reductase) (XR) (EC 1.1.1.10)",2
"1988","CHOYP_BRAFLDRAFT_276226.2.2|m.64449","Q5R806","Prostaglandin reductase 2 (PRG-2) (EC 1.3.1.48) (15-oxoprostaglandin 13-reductase)",-2.70951129135145
"2006","CHOYP_CLAP1.4.6|m.39950","A1A5G0","CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)",-2.25985100456466
"2007","CHOYP_CLAP1.6.6|m.57823","A1A5G0","CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)",-2.25985100456466
"2027","CHOYP_HSP7D.2.3|m.34785","Q3T022","Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p18)",-2.25985100456466
"2034","CHOYP_KS6B1.1.1|m.8274","P67999","Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)",-2.70951129135145
"2052","CHOYP_LOC100369935.1.1|m.40124","Q96M32","Adenylate kinase 7 (AK 7) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 7)",-2.90689059560852
"2067","CHOYP_LOC100378892.1.1|m.41502","Q7ZYB4","Polyadenylate-binding protein-interacting protein 1 (PABP-interacting protein 1) (PAIP-1) (Paip1 protein) (Poly(A)-binding protein-interacting protein 1) (XlPaip1)",-2.25985100456466
"2126","CHOYP_PHUM_PHUM445570.1.1|m.18708","O15460","Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)",3.70951129135145
"2167","CHOYP_AGAP_AGAP008287.1.1|m.58727","Q8AVR4","Programmed cell death protein 10",-3.0896936467371
"2275","CHOYP_LOC100377058.1.1|m.22299","Q6ZRR9","Doublecortin domain-containing protein 5",-3.0896936467371
"2286","CHOYP_LOC100694648.1.1|m.18881","Q8K268","ATP-binding cassette sub-family F member 3",-2
"2288","CHOYP_LOC100701551.1.7|m.3948","Q9CQR2","40S ribosomal protein S21",-2.16992500144231
"2298","CHOYP_LOC100879487.3.3|m.33048","P0C6B8","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",-2
"2307","CHOYP_LOC101157864.1.2|m.9913","Q9CQX8","28S ribosomal protein S36, mitochondrial (MRP-S36) (S36mt)",-2.70951129135145
"2315","CHOYP_LOC582121.1.1|m.30176","P23034","Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)",2.70951129135145
"2341","CHOYP_NEMVEDRAFT_V1G188927.1.1|m.17076","O05389","Uncharacterized oxidoreductase YrbE (EC 1.-.-.-)",-2.25985100456466
"2354","CHOYP_PUS3.1.1|m.9880","Q9BZE2","tRNA pseudouridine(38/39) synthase (EC 5.4.99.45) (tRNA pseudouridine synthase 3) (tRNA pseudouridylate synthase 3) (tRNA-uridine isomerase 3)",-2.70951129135145
"2395","CHOYP_ANR40.1.1|m.1429","Q5SUE8","Ankyrin repeat domain-containing protein 40",2.70951129135145
"2428","CHOYP_CRLF3.1.2|m.8760","Q568M3","Cytokine receptor-like factor 3 (Clf-3 protein)",2.32192809488736
"2439","CHOYP_FAT1.4.4|m.63315","Q6V0I7","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)",-2.70951129135145
"2441","CHOYP_FLNA.2.6|m.11845","Q9VEN1","Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Filamin-1) (Filamin1)",2.96536895208808
"2539","CHOYP_NEMVEDRAFT_V1G106520.1.1|m.14881","P50532","Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome assembly protein XCAP-C) (Chromosome-associated protein C)",-2.25985100456466
"2573","CHOYP_RGN.1.1|m.30406","Q6DF62","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17)",3.0896936467371
"2585","CHOYP_TEKT5.1.1|m.60031","P86230","Tektin-3 (Fragments)",-2
"2621","CHOYP_BRAFLDRAFT_263599.1.1|m.59011","Q60631","Growth factor receptor-bound protein 2 (Adapter protein GRB2) (SH2/SH3 adapter GRB2)",-4.61643218977614
"2645","CHOYP_CNOT1.1.1|m.12104","Q6ZQ08","CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1)",-2.19897784671579
"2678","CHOYP_LOC100123629.1.1|m.841","P50464","LIM domain-containing protein unc-97 (PINCH homolog) (Uncoordinated protein 97)",2.09590327428938
"2721","CHOYP_LOC101075808.1.1|m.17712","Q5RE33","Receptor expression-enhancing protein 5 (Polyposis locus protein 1 homolog)",-3.41902258270291
"2741","CHOYP_NAA25.1.1|m.11255","Q14CX7","N-alpha-acetyltransferase 25, NatB auxiliary subunit (Mitochondrial distribution and morphology protein 20) (N-terminal acetyltransferase B complex subunit MDM20) (NatB complex subunit MDM20) (N-terminal acetyltransferase B complex subunit NAA25) (p120)",-3.41902258270291
"2848","CHOYP_ELP1.2.2|m.29114","O95163","Elongator complex protein 1 (ELP1) (IkappaB kinase complex-associated protein) (IKK complex-associated protein) (p150)",-2.25985100456466
"2866","CHOYP_LIPB1.1.1|m.35961","Q8ND30","Liprin-beta-2 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein-binding protein 2) (PTPRF-interacting protein-binding protein 2)",-3.70951129135145
"2876","CHOYP_LOC100181350.1.1|m.2782","P47989","Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]",-2.16992500144231
"3030","CHOYP_BRAFLDRAFT_117976.2.3|m.49156","Q6P1E8","EF-hand calcium-binding domain-containing protein 6 (DJ-1-binding protein) (DJBP)",-2.43411499853921
"3034","CHOYP_BRAFLDRAFT_123537.2.2|m.50531","Q9UIF3","Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)",-2.25985100456466
"3041","CHOYP_BRAFLDRAFT_127065.2.7|m.5835","Q8CFM6","Stabilin-2 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 2) (FEEL-2) (Hyaluronan receptor for endocytosis) [Cleaved into: 175 kDa stabilin-2 (175 kDa hyaluronan receptor for endocytosis)] (Fragment)",2.32192809488736
"3056","CHOYP_C19L1.1.1|m.13954","Q5RGJ5","CWF19-like protein 1",2.25985100456466
"3069","CHOYP_ECM29.1.1|m.48083","Q6PDI5","Proteasome-associated protein ECM29 homolog (Ecm29)",-2.26941239209809
"3123","CHOYP_LOC100402577.1.1|m.44548","Q29428","Trophoblast Kunitz domain protein 1 (TKDP-1)",3.96936229591612
"3171","CHOYP_NECA3.1.1|m.106","Q9ESB5","N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1) (Neuronal calcium-binding protein 1) (Synaptotagmin-interacting protein 1) (Stip-1)",-2.70043971814109
"3204","CHOYP_TEMPT.1.3|m.4934","Q7Z0T3","Temptin",2.51294159473206
"3216","CHOYP_WDR52.1.1|m.21751","Q96MT7","Cilia- and flagella-associated protein 44 (WD repeat-containing protein 52)",-4.41902258270291
"3235","CHOYP_BRAFLDRAFT_117976.1.3|m.22767","P48593","Calcium-binding protein E63-1",-2.70951129135145
"3240","CHOYP_BRAFLDRAFT_128944.1.2|m.19981","Q8BG40","Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)",-2.16992500144231
"3252","CHOYP_BRAFLDRAFT_263840.1.1|m.51673","A2BFC9","Cilia- and flagella-associated protein 77",-2.16992500144231
"3297","CHOYP_ISCW_ISCW012036.1.1|m.27987","Q24297","Small nuclear ribonucleoprotein F (snRNP-F) (Membrane-associated protein Deb-B) (Sm protein F) (Sm-F) (SmF)",-2.25985100456466
"3313","CHOYP_LOC100366428.1.1|m.3739","Q7RTY7","Ovochymase-1 (EC 3.4.21.-)",-4.20442612236725
"3331","CHOYP_LOC100377243.1.1|m.6500","Q8T880","Axonemal 84 kDa protein (Ci-AXP83.9) (p83.9)",-3.0896936467371
"3358","CHOYP_LOC589201.1.1|m.59863","F1N9Y5","Tyrosine-protein kinase SYK (EC 2.7.10.2)",-2.70951129135145
"3416","CHOYP_BRAFLDRAFT_108792.4.5|m.45892","P0C6F1","Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2)",2
"3422","CHOYP_BRAFLDRAFT_125880.3.3|m.26918","O17450","Peritrophin-48",2.32192809488736
"3519","CHOYP_LOC100378652.1.1|m.5657","O75197","Low-density lipoprotein receptor-related protein 5 (LRP-5)",-2
"3526","CHOYP_LOC100691455.1.1|m.3282","Q505H4","von Willebrand factor C domain-containing protein 2-like (Brorin-like)",3.41902258270291
"3577","CHOYP_PMAR_PMAR019172.1.1|m.2563","B8DKP2","Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase)",-2.25985100456466
"3611","CHOYP_ASB3.1.1|m.51103","P42325","Neurocalcin homolog (DrosNCa)",2.25985100456466
"3618","CHOYP_BRAFLDRAFT_120058.1.1|m.9895","Q8WWB3","DPY30 domain-containing protein 1",-2
"3640","CHOYP_BRAFLDRAFT_270672.1.1|m.25768","Q9Y617","Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)",-2.4594316186373
"3770","CHOYP_NEMVEDRAFT_V1G235461.1.1|m.28341","Q8MP06","Senecionine N-oxygenase (SNO) (EC 1.14.13.101)",-5.12853387405436
"3786","CHOYP_PHUM_PHUM536560.1.2|m.12360","A2P2R3","Putative glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)",-3.70951129135145
"3802","CHOYP_SASB.3.3|m.51787","Q6UWW8","Carboxylesterase 3 (EC 3.1.1.1) (Liver carboxylesterase 31 homolog)",-2.45696231588174
"3809","CHOYP_SMOX.1.2|m.3830","Q99K82","Spermine oxidase (EC 1.5.3.16) (Polyamine oxidase 1) (PAO-1) (PAOh1)",-2.16992500144231
"3815","CHOYP_SYPL1.1.1|m.49654","Q16563","Synaptophysin-like protein 1 (Pantophysin)",-2.70951129135145
"3873","CHOYP_C43BP.1.1|m.62099","Q6VVX2","Collagen type IV alpha-3-binding protein (Ceramide transfer protein)",2
"3878","CHOYP_CEP63.2.2|m.35716","Q86X83","COMM domain-containing protein 2",2.25985100456466
"3901","CHOYP_DYH1.1.1|m.46156","Q63164","Dynein heavy chain 1, axonemal (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1)",-2.19897784671579
"3905","CHOYP_EXOS7.1.1|m.3323","Q15024","Exosome complex component RRP42 (Exosome component 7) (Ribosomal RNA-processing protein 42) (p8)",-2.25985100456466
"3915","CHOYP_ISCW_ISCW014398.1.3|m.15839","P38922","Protein HRB1 (Protein TOM34)",2.8073549220576
"4001","CHOYP_OXDD.1.4|m.2688","O45307","D-aspartate oxidase 1 (DASOX 1) (DDO-1) (EC 1.4.3.1)",-3.96936229591612
"4022","CHOYP_RM49.1.1|m.1644","Q9CQ40","39S ribosomal protein L49, mitochondrial (L49mt) (MRP-L49)",2
"4023","CHOYP_RPAB1.1.1|m.11586","B0BNE2","DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog)",-2.70951129135145
"4059","CHOYP_ARB_02478.1.1|m.29725","D4B1Z7","Uncharacterized FAD-linked oxidoreductase ARB_02478 (EC 1.-.-.-)",-2.90689059560852
"4088","CHOYP_BRAFLDRAFT_73486.1.1|m.16417","Q93099","Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)",3.70951129135145
"4147","CHOYP_LOC100372505.1.2|m.10260","Q5FWT1","Protein FAM98A",-2.16992500144231
"4150","CHOYP_LOC100374754.1.1|m.32299","Q8R0G9","Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)",-3.41902258270291
"4157","CHOYP_LOC100378209.1.2|m.7335","P25490","Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1)",-3.96936229591612
"4194","CHOYP_NEMVEDRAFT_V1G165649.1.1|m.2893","Q6DF67","Isochorismatase domain-containing protein 2",3.96936229591612
"4196","CHOYP_NPC2.2.7|m.29742","Q9Z0J0","Epididymal secretory protein E1 (mE1) (Niemann Pick type C2 protein homolog)",-2.32192809488736
"4241","CHOYP_WDR5.2.3|m.6293","Q5M786","WD repeat-containing protein 5",2.25985100456466
"4248","CHOYP_41.2.3|m.31169","Q9WV92","Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (DAL1P) (mDAL-1) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]",2.70951129135145
"4270","CHOYP_BRAFLDRAFT_118718.1.1|m.14739","O75594","Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)",-3.41902258270291
"4354","CHOYP_LOC100373170.1.1|m.10994","O57590","Surfeit locus protein 4",-2.70951129135145
"4395","CHOYP_LOC580670.5.6|m.34028","P98072","Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain]",-2.25985100456466
