"","Protein.ID","Uniprot","Protein.names","fc11"
"33","CHOYP_CN166.1.1|m.14529","Q5R8I2","UPF0568 protein C14orf166 homolog",2.70951129135145
"764","CHOYP_AAKG2.1.1|m.55638","Q9UGJ0","5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p)",-2.25985100456466
"811","CHOYP_DPSE_GA17283.3.3|m.59446","O95428","Papilin",-2.32192809488736
"823","CHOYP_GOGB1.2.2|m.66418","Q99KW3","TRIO and F-actin-binding protein (Protein Tara) (Trio-associated repeat on actin)",-2.25985100456466
"838","CHOYP_LOC100206475.1.16|m.4004","Q02079","Laccase-3 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 3) (Diphenol oxidase 3) (Urishiol oxidase 3)",-2.8073549220576
"840","CHOYP_LOC100331324.2.3|m.40325","Q95ND5","Caspase-3 (CASP-3) (EC 3.4.22.56) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]",3.41902258270291
"910","CHOYP_MYO15.1.1|m.66281","Q9UKN7","Unconventional myosin-XV (Unconventional myosin-15)",-3.0896936467371
"955","CHOYP_TRIADDRAFT_63204.2.2|m.38038","P57600","Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)",-2.25985100456466
"969","CHOYP_ABI2.2.2|m.65629","Q9QZM5","Abl interactor 1 (Abelson interactor 1) (Abi-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (e3B1)",-3.41902258270291
"986","CHOYP_BRAFLDRAFT_204871.1.1|m.66069","Q4PM12","60S ribosomal protein L36",2.25985100456466
"999","CHOYP_BRAFLDRAFT_90405.1.1|m.44167","Q3SZJ4","Prostaglandin reductase 1 (PRG-1) (EC 1.3.1.-) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (NADP-dependent leukotriene B4 12-hydroxydehydrogenase) (EC 1.3.1.74)",-2
"1005","CHOYP_CALM.50.50|m.67046","P05935","Calmodulin (CaM) (Fragment)",-2.25985100456466
"1012","CHOYP_DANA_GF16638.1.1|m.10255","O01814","Fatty acid-binding protein homolog 5",-2.25985100456466
"1051","CHOYP_LOC100369340.1.1|m.51639","Q80ZX8","Sperm-associated antigen 1 (Infertility-related sperm protein Spag-1) (TPR-containing protein involved in spermatogenesis) (TPIS)",-3.0896936467371
"1074","CHOYP_LOC100459096.3.3|m.45135","Q7T2V2","Cytosolic sulfotransferase 3 (EC 2.8.2.-) (SULT1 ST3)",3.0896936467371
"1124","CHOYP_PHUM_PHUM125580.1.1|m.47466","P04069","Carboxypeptidase B (EC 3.4.17.2)",-2.70951129135145
"1159","CHOYP_WDR26.1.1|m.43030","Q28D01","WD repeat-containing protein 26",-2
"1176","CHOYP_BRAFLDRAFT_123909.1.1|m.24337","Q3UYG8","O-acetyl-ADP-ribose deacetylase MACROD2 (EC 3.2.2.-) (EC 3.5.1.-) (MACRO domain-containing protein 2) ([Protein ADP-ribosylglutamate] hydrolase)",2.25985100456466
"1242","CHOYP_LOC100368194.1.1|m.59989","Q9CRB9","MICOS complex subunit Mic19 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 3)",-2.70951129135145
"1296","CHOYP_MEP50.1.1|m.12931","Q5RBZ2","Methylosome protein 50 (MEP-50) (WD repeat-containing protein 77)",-2.8073549220576
"1319","CHOYP_RBMX.1.1|m.26723","Q7ZWA3","RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G)",-4.20442612236725
"1320","CHOYP_RS26.14.15|m.57342","O45499","40S ribosomal protein S26",-3.08746284125034
"1326","CHOYP_TMEM2.1.4|m.6314","A3KPQ7","Transmembrane protein 2",-3.58496250072116
"1346","CHOYP_AMPL.1.1|m.27061","P00727","Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)",2.25985100456466
"1371","CHOYP_BRAFLDRAFT_76885.1.1|m.20259","P86789","Gigasin-6",-2.70951129135145
"1398","CHOYP_DSIM_GD13354.1.1|m.6235","O75489","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",-2.45696231588174
"1423","CHOYP_ISCW_ISCW012366.1.1|m.3691","O75489","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",-4.79920493808856
"1425","CHOYP_ISCW_ISCW013378.3.3|m.20296","O04379","Protein argonaute 1",2
"1500","CHOYP_NEMVEDRAFT_V1G100691.2.2|m.65547","Q9NGQ2","Kinesin-related protein 1 (Kinesin family member 1) (Kinesin-3)",2.25985100456466
"1504","CHOYP_NRG.1.1|m.10622","P20241","Neuroglian",-2.95544864408182
"1529","CHOYP_TNPO3.1.1|m.11099","Q9Y5L0","Transportin-3 (Importin-12) (Imp12) (Transportin-SR) (TRN-SR)",-3.0896936467371
"1592","CHOYP_BRAFLDRAFT_80311.1.3|m.18963","Q5KU26","Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)",-2.25985100456466
"1605","CHOYP_EXOC1.1.2|m.60","Q20678","Exocyst complex component 1 (Exocyst complex component Sec3)",-2.70951129135145
"1631","CHOYP_LOC100313649.1.1|m.49801","Q9D5E4","Dynein regulatory complex subunit 3 (Leucine-rich repeat-containing protein 48)",-2.25985100456466
"1648","CHOYP_LOC100373488.1.1|m.10129","P10088","Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (2,4-D dioxygenase) (EC 1.14.11.-)",2.70951129135145
"1659","CHOYP_LOC100378652.1.1|m.5656","Q8BKE9","Intraflagellar transport protein 74 homolog (Capillary morphogenesis gene 1 protein) (CMG-1) (Coiled-coil domain-containing protein 2)",2.32192809488736
"1834","CHOYP_LOC100367356.1.1|m.29181","A4D263","Uncharacterized protein C7orf72",-2.25985100456466
"1868","CHOYP_LOC100748395.6.7|m.57994","Q28521","Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]",-3.39231742277876
"1880","CHOYP_LOC576326.1.1|m.49857","Q6TLF6","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17)",2.70951129135145
"1901","CHOYP_MTHR.1.1|m.54596","Q5I598","Methylenetetrahydrofolate reductase (EC 1.5.1.20)",-2
"1919","CHOYP_PPBT.1.4|m.5115","Q29486","Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)",-5.67887358726757
"1933","CHOYP_S26A5.2.2|m.9883","Q62273","Sulfate transporter (Diastrophic dysplasia protein homolog) (ST-OB) (Solute carrier family 26 member 2)",3.70951129135145
"1959","CHOYP_AADAT.1.1|m.12672","Q8N5Z0","Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II)",-2.16992500144231
"2053","CHOYP_LOC100370154.1.2|m.27385","Q9CZT8","Ras-related protein Rab-3B",-2.25985100456466
"2080","CHOYP_LOC100867381.8.8|m.53059","Q62417","Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP)",2.58496250072116
"2081","CHOYP_LOC100877335.1.1|m.8851","Q15911","Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3)",2
"2107","CHOYP_LOC726145.1.1|m.27163","P52486","Ubiquitin-conjugating enzyme E2-22 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 4) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)",2.70951129135145
"2126","CHOYP_PHUM_PHUM445570.1.1|m.18708","O15460","Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)",3.0896936467371
"2137","CHOYP_RNP1B.1.1|m.59888","Q3KPW1","RNA-binding protein with serine-rich domain 1-B",-2.25985100456466
"2273","CHOYP_LOC100375219.1.1|m.30268","Q9H4K1","RIB43A-like with coiled-coils protein 2",-2.90689059560852
"2275","CHOYP_LOC100377058.1.1|m.22299","Q6ZRR9","Doublecortin domain-containing protein 5",3.0896936467371
"2350","CHOYP_POGLUT1.1.1|m.45796","G3V9D0","Protein O-glucosyltransferase 1 (EC 2.4.1.-) (O-glucosyltransferase Rumi homolog) (Protein O-xylosyltransferase) (EC 2.4.2.26)",2.25985100456466
"2375","CHOYP_TRIADDRAFT_50333.1.1|m.59774","Q8BHW2","Protein OSCP1",-2.25985100456466
"2452","CHOYP_ISCW_ISCW016212.2.2|m.46221","Q13231","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)",3.41902258270291
"2456","CHOYP_KPC1.2.2|m.37402","Q16974","Calcium-dependent protein kinase C (EC 2.7.11.13) (APL I)",-2
"2483","CHOYP_LOC100372239.1.1|m.50390","Q0VFZ6","Coiled-coil domain-containing protein 173",2.70951129135145
"2571","CHOYP_RBP6.1.2|m.6061","Q98SJ2","DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1) (Proline-rich Vg1 mRNA-binding protein)",-2.04280378682109
"2573","CHOYP_RGN.1.1|m.30406","Q6DF62","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17)",-2
"2585","CHOYP_TEKT5.1.1|m.60031","P86230","Tektin-3 (Fragments)",-2.70043971814109
"2598","CHOYP_XRN2.1.1|m.13943","Q5ZIP4","5'-3' exoribonuclease 2 (EC 3.1.13.-)",-4.41902258270291
"2621","CHOYP_BRAFLDRAFT_263599.1.1|m.59011","Q60631","Growth factor receptor-bound protein 2 (Adapter protein GRB2) (SH2/SH3 adapter GRB2)",-5.79920493808856
"2629","CHOYP_BRAFLDRAFT_57258.2.3|m.48328","Q53FA7","Quinone oxidoreductase PIG3 (EC 1.-.-.-) (Tumor protein p53-inducible protein 3) (p53-induced gene 3 protein)",2.25985100456466
"2640","CHOYP_CATA.3.3|m.21642","Q9XZD5","Peroxisomal catalase (EC 1.11.1.6)",-7.38838487861903
"2652","CHOYP_DLL4.1.1|m.40197","D3ZHH1","Delta-like protein 4 (Drosophila Delta homolog 4) (Delta4)",2.16992500144231
"2807","CHOYP_BRAFLDRAFT_208436.25.32|m.60144","O43301","Heat shock 70 kDa protein 12A",2
"2812","CHOYP_BRAFLDRAFT_274974.1.1|m.56783","Q6DED0","Translocating chain-associated membrane protein 1-like 1",-2.25985100456466
"2818","CHOYP_BRAFLDRAFT_72357.1.1|m.59063","Q5VYX0","Renalase (EC 1.6.3.5) (Monoamine oxidase-C) (MAO-C)",-2.16992500144231
"2867","CHOYP_LOC100027252.1.1|m.30045","Q08623","Pseudouridine-5'-phosphatase (EC 3.1.3.96) (Haloacid dehalogenase-like hydrolase domain-containing protein 1) (Haloacid dehalogenase-like hydrolase domain-containing protein 1A) (Protein GS1) (Pseudouridine-5'-monophosphatase) (5'-PsiMPase)",-3.70951129135145
"2958","CHOYP_NEMVEDRAFT_V1G204928.1.2|m.15590","Q26534","Cathepsin L (EC 3.4.22.15) (SMCL1)",5.12853387405436
"2968","CHOYP_PHUM_PHUM066670.2.3|m.42178","P98160","Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]",-2.51294159473206
"3022","CHOYP_AGAP_AGAP004868.1.1|m.60336","O43399","Tumor protein D54 (hD54) (Tumor protein D52-like 2)",2.26185950714292
"3072","CHOYP_EFGM.1.1|m.16632","Q7Q1K8","Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)",-3.41902258270291
"3087","CHOYP_ISCW_ISCW021457.1.1|m.31134","Q5XIH7","Prohibitin-2 (B-cell receptor-associated protein BAP37) (BAP-37)",-4.20442612236725
"3116","CHOYP_LOC100372241.1.1|m.9935","Q9Z265","Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Checkpoint kinase 2)",2.4594316186373
"3120","CHOYP_LOC100376289.1.1|m.60023","Q5RHH4","Intraflagellar transport protein 172 homolog",2.16992500144231
"3261","CHOYP_CAL6303_3579.1.1|m.59031","P28034","Caffeoyl-CoA O-methyltransferase (EC 2.1.1.104) (Trans-caffeoyl-CoA 3-O-methyltransferase) (CCoAMT) (CCoAOMT)",2.70951129135145
"3280","CHOYP_EPRS.1.1|m.35443","Q8CGC7","Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]",2.09590327428938
"3331","CHOYP_LOC100377243.1.1|m.6500","Q8T880","Axonemal 84 kDa protein (Ci-AXP83.9) (p83.9)",3.0896936467371
"3370","CHOYP_NEMVEDRAFT_V1G157638.1.1|m.31214","Q16820","Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B) (N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit beta) (PABA peptide hydrolase) (PPH beta)",-3.70951129135145
"3386","CHOYP_RGD1309762.1.1|m.47917","Q9Y4D8","Probable E3 ubiquitin-protein ligase HECTD4 (EC 2.3.2.26) (HECT domain-containing protein 4) (HECT-type E3 ubiquitin transferase HECTD4)",2.70951129135145
"3392","CHOYP_SMRD1.1.2|m.1725","Q9FMT4","SWI/SNF complex component SNF12 homolog",2.70951129135145
"3457","CHOYP_DEK.1.1|m.40646","Q6AXS3","Protein DEK",-2.16992500144231
"3481","CHOYP_ISCW_ISCW010532.2.4|m.35454","Q90384","Peroxiredoxin (EC 1.11.1.15) (Animal blastomere protein, 25 kDa) (ABP-25) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxide reductase)",-2.26941239209809
"3496","CHOYP_LOC100366482.1.1|m.9777","Q8T773","Putative malate dehydrogenase 1B (EC 1.1.1.-)",2.25985100456466
"3519","CHOYP_LOC100378652.1.1|m.5657","O75197","Low-density lipoprotein receptor-related protein 5 (LRP-5)",2.25985100456466
"3537","CHOYP_LOC413005.1.1|m.63172","Q6AYR2","Protein NDRG3 (N-myc downstream-regulated gene 3 protein)",-2.25985100456466
"3577","CHOYP_PMAR_PMAR019172.1.1|m.2563","B8DKP2","Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase)",3.41902258270291
"3598","CHOYP_UFD1L.1.1|m.43606","Q92890","Ubiquitin fusion degradation protein 1 homolog (UB fusion protein 1)",2.25985100456466
"3616","CHOYP_BRAFLDRAFT_118099.6.6|m.45150","Q5SRD0","WASH complex subunit 2D",-2.70951129135145
"3641","CHOYP_BRAFLDRAFT_275580.2.2|m.40924","Q8QZR1","Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase)",2.32192809488736
"3692","CHOYP_LOC100068494.1.1|m.8733","A5PKG7","BTB/POZ domain-containing protein KCTD5",2.25985100456466
"3738","CHOYP_LOC100891502.1.1|m.14627","Q3ZBD2","Actin-related protein 10",-2.25985100456466
"3786","CHOYP_PHUM_PHUM536560.1.2|m.12360","A2P2R3","Putative glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)",-2
"3817","CHOYP_THOC2.2.2|m.19049","B3EWZ5","MAM and LDL-receptor class A domain-containing protein 1 (Skeletal organic matrix MAM and LDL-receptor 1) (SOM MAM and LDL-receptor 1) (Fragment)",2.25985100456466
"3820","CHOYP_TRIADDRAFT_29967.1.1|m.56654","Q55G11","Neutral ceramidase B (N-CDase B) (NCDase B) (EC 3.5.1.23) (Acylsphingosine deacylase 2B) (N-acylsphingosine amidohydrolase 2B)",-2
"3869","CHOYP_BRAFLDRAFT_92367.1.4|m.29492","Q0E908","Hillarin (D-Hillarin) (D-hil)",3.0896936467371
"3870","CHOYP_BRAFLDRAFT_93411.3.3|m.54402","O97758","Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)",-3.41902258270291
"3878","CHOYP_CEP63.2.2|m.35716","Q86X83","COMM domain-containing protein 2",2.25985100456466
"3896","CHOYP_DPER_GL17438.1.1|m.11680","Q0E908","Hillarin (D-Hillarin) (D-hil)",2.16992500144231
"4053","CHOYP_ABCF2.1.2|m.28360","Q99LE6","ATP-binding cassette sub-family F member 2",-2.12368201637836
"4059","CHOYP_ARB_02478.1.1|m.29725","D4B1Z7","Uncharacterized FAD-linked oxidoreductase ARB_02478 (EC 1.-.-.-)",-2.16992500144231
"4112","CHOYP_GLB1L2.1.1|m.5029","Q3UPY5","Beta-galactosidase-1-like protein 2 (EC 3.2.1.-)",-2
"4148","CHOYP_LOC100373429.1.1|m.10007","F1P4W9","Cilia- and flagella-associated protein 65 (Coiled-coil domain-containing protein 108)",2.8073549220576
"4243","CHOYP_WDR92.1.1|m.12560","Q29RZ9","WD repeat-containing protein 92",2.4594316186373
"4277","CHOYP_BRAFLDRAFT_221115.1.1|m.28512","Q2M389","WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)",3.0896936467371
"4281","CHOYP_BRAFLDRAFT_275517.1.1|m.9720","Q2HJ56","Periodic tryptophan protein 1 homolog",-2.25985100456466
"4305","CHOYP_CRYM.1.1|m.8544","O54983","Ketimine reductase mu-crystallin (EC 1.5.1.25) (NADP-regulated thyroid-hormone-binding protein)",-2.25985100456466
"4334","CHOYP_LC7L3.1.1|m.20705","Q5SUF2","Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein)",-2.32192809488736
"4351","CHOYP_LOC100370410.1.1|m.24212","Q96AT9","Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase)",-2.70951129135145
"4395","CHOYP_LOC580670.5.6|m.34028","P98072","Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain]",2.25985100456466
"4409","CHOYP_MYCB2.1.2|m.13017","Q7TPH6","E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.27) (Myc-binding protein 2) (Pam/highwire/rpm-1 protein) (Protein associated with Myc) (RING-type E3 ubiquitin transferase MYCBP2)",-2.25985100456466
"4435","CHOYP_RABGAP1.1.1|m.50532","A2AWA9","Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)",2.25985100456466
"4436","CHOYP_RAC1.1.3|m.20870","Q9QX22","Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)",2.16992500144231
"4530","CHOYP_DKC1.1.1|m.10978","Q9ESX5","H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)",-3
"4641","CHOYP_NEMVEDRAFT_V1G226328.1.1|m.11691","Q8IVN8","Somatomedin-B and thrombospondin type-1 domain-containing protein (RPE-spondin)",-3.70951129135145
"4675","CHOYP_UCK2.1.1|m.6328","B1H116","Uridine-cytidine kinase 2 (UCK 2) (EC 2.7.1.48) (Cytidine monophosphokinase 2) (Uridine monophosphokinase 2)",-2.70951129135145
"4793","CHOYP_LOC100726448.1.1|m.26536","Q711G3","Isoamyl acetate-hydrolyzing esterase 1 homolog (EC 3.1.-.-) (Hypertrophic agonist-responsive protein B64)",2.70951129135145
"4835","CHOYP_OST48.1.1|m.43513","Q5R501","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit) (EC 2.4.99.18)",2.25985100456466
"4887","CHOYP_5NT3.1.1|m.24925","Q5ZKF6","7-methylguanosine phosphate-specific 5'-nucleotidase (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3B) (Cytosolic 5'-nucleotidase III-like protein) (cN-III-like protein) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase)",-2.33557547735863
"4904","CHOYP_BRAFLDRAFT_125405.1.1|m.5741","Q5M8X6","Collectin-10",2.70043971814109
"4929","CHOYP_CCAR1.1.1|m.25430","Q641G3","Cell division cycle and apoptosis regulator protein 1",-2.25985100456466
"4942","CHOYP_DDX23.1.1|m.20195","Q9BUQ8","Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)",-2.70951129135145
"4963","CHOYP_HS12A.14.33|m.41988","B2G6W3","Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)",-2.70043971814109
"5055","CHOYP_NEMVEDRAFT_V1G100691.1.2|m.26774","F8WLE0","Kinesin-like protein KIF28P (Kinesin-like protein 6)",2.25985100456466
"5167","CHOYP_LOC100118048.1.1|m.62637","P53356","Tyrosine-protein kinase HTK16 (EC 2.7.10.2)",2
"5187","CHOYP_LOC100371022.1.1|m.51315","Q8K2K6","Arf-GAP domain and FG repeat-containing protein 1 (HIV-1 Rev-binding protein homolog) (Nucleoporin-like protein RIP)",2.25985100456466
"5250","CHOYP_OFUT1.1.1|m.41737","Q9V6X7","GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Neurotic protein) (Peptide-O-fucosyltransferase 1) (O-FucT-1)",2.70951129135145
"5252","CHOYP_PAPOG.1.2|m.33182","Q6PCL9","Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme)",-2.25985100456466
"5321","CHOYP_BRAFLDRAFT_104472.1.1|m.16220","Q6P963","Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)",-2.25985100456466
"5340","CHOYP_BRAFLDRAFT_263599.1.1|m.59010","O95995","Growth arrest-specific protein 8 (GAS-8) (Growth arrest-specific protein 11) (GAS-11)",-2.70951129135145
"5364","CHOYP_COPD.1.1|m.37390","Q9DCM4","Dynein light chain 4, axonemal",-2.70951129135145
"5394","CHOYP_LOC100122269.1.1|m.8408","Q9KPS0","DNA-binding transcriptional regulator BolA",-2.25985100456466
"5401","CHOYP_LOC100366442.1.4|m.6288","Q08B20","Outer dense fiber protein 2-like",2
"5411","CHOYP_LOC100375650.1.1|m.51555","Q98SP7","Bardet-Biedl syndrome 2 protein homolog",2.25985100456466
"5456","CHOYP_LSM12.1.1|m.24998","Q5RAT5","Protein LSM12 homolog",3.0896936467371
"5534","CHOYP_BRAFLDRAFT_214348.1.2|m.42797","O14841","5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)",-2.25985100456466
