"","Protein.ID","Uniprot","Protein.names","fc15"
"477","CHOYP_LOC100372945.2.2|m.47110","Q810B6","Rabankyrin-5 (Rank-5) (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif)",2.8073549220576
"485","CHOYP_LOC100377392.2.4|m.21904","P05539","Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin]",3.0896936467371
"515","CHOYP_LSM4.1.3|m.2601","Q9QXA5","U6 snRNA-associated Sm-like protein LSm4",2
"524","CHOYP_NEMVEDRAFT_V1G168076.2.2|m.56942","Q54271","Phosphonopyruvate decarboxylase (EC 4.1.1.82)",2
"554","CHOYP_THOC1.1.1|m.62740","Q8R3N6","THO complex subunit 1 (Tho1) (Nuclear matrix protein p84)",-3.0896936467371
"575","CHOYP_AT1.1.1|m.66793","Q9Y345","Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)",2
"594","CHOYP_BRAFLDRAFT_265613.1.2|m.14785","A5D7H5","Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein homolog) (MLN 51 homolog) (Protein barentsz) (Btz)",-3.70951129135145
"599","CHOYP_BRAFLDRAFT_69134.2.13|m.10914","Q86Z23","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)",5.41902258270291
"605","CHOYP_C1QL4L.3.7|m.5968","Q86Z23","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)",3.41902258270291
"692","CHOYP_LOC100907841.1.1|m.39986","Q26636","Cathepsin L (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain]",-3.39231742277876
"731","CHOYP_PSME4.1.1|m.18992","Q6NRP2","Proteasome activator complex subunit 4 (Proteasome activator PA200)",-3.96936229591612
"749","CHOYP_TBB.5.7|m.60062","P38552","Galectin-4 (Gal-4) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)",-4.20442612236725
"821","CHOYP_GABPA.1.1|m.15077","Q06546","GA-binding protein alpha chain (GABP subunit alpha) (Nuclear respiratory factor 2 subunit alpha) (Transcription factor E4TF1-60)",2.25985100456466
"822","CHOYP_GEK.1.1|m.4939","O54874","Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)",2
"829","CHOYP_IVD.2.2|m.14522","P34275","Probable acyl-CoA dehydrogenase 6 (Probable isovaleryl-CoA dehydrogenase) (IVD) (EC 1.3.8.4)",-3.0896936467371
"866","CHOYP_LOC100377487.1.1|m.27964","Q91V92","ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)",2.70951129135145
"869","CHOYP_LOC100378331.1.1|m.47480","Q8TD57","Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)",2.8073549220576
"872","CHOYP_LOC100378619.1.2|m.21468","Q8N9Z9","Lamin tail domain-containing protein 1 (Intermediate filament tail domain-containing protein 1)",2.70951129135145
"917","CHOYP_NEMVEDRAFT_V1G198667.14.15|m.61843","Q9JI18","Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT)",2
"969","CHOYP_ABI2.2.2|m.65629","Q9QZM5","Abl interactor 1 (Abelson interactor 1) (Abi-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (e3B1)",3.70951129135145
"988","CHOYP_BRAFLDRAFT_227771.1.2|m.60606","P42674","Blastula protease 10 (EC 3.4.24.-)",2
"999","CHOYP_BRAFLDRAFT_90405.1.1|m.44167","Q3SZJ4","Prostaglandin reductase 1 (PRG-1) (EC 1.3.1.-) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (NADP-dependent leukotriene B4 12-hydroxydehydrogenase) (EC 1.3.1.74)",-3.0896936467371
"1045","CHOYP_LOC100313569.1.1|m.15201","Q13948","Protein CASP",-3.41902258270291
"1082","CHOYP_LOC100698013.1.1|m.5420","P83425","Heavy metal-binding protein HIP",2.25985100456466
"1117","CHOYP_NDUFA7.2.2|m.57153","Q9Z1P6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)",2.70043971814109
"1128","CHOYP_PPIG.1.1|m.63308","P30414","NK-tumor recognition protein (NK-TR protein) (Natural-killer cells cyclophilin-related protein) [Includes: Putative peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase)]",-2.25985100456466
"1319","CHOYP_RBMX.1.1|m.26723","Q7ZWA3","RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G)",2
"1326","CHOYP_TMEM2.1.4|m.6314","A3KPQ7","Transmembrane protein 2",3.24792751344359
"1398","CHOYP_DSIM_GD13354.1.1|m.6235","O75489","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",2
"1422","CHOYP_ISCW_ISCW011341.1.1|m.18728","B4NYV0","Serrate RNA effector molecule homolog (Arsenite-resistance protein 2 homolog)",-2.19897784671579
"1423","CHOYP_ISCW_ISCW012366.1.1|m.3691","O75489","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",2.16992500144231
"1451","CHOYP_LOC100372467.1.1|m.42336","Q5R5R4","RUN and FYVE domain-containing protein 2",2.70951129135145
"1504","CHOYP_NRG.1.1|m.10622","P20241","Neuroglian",2.32192809488736
"1528","CHOYP_TMED7.2.3|m.28259","D3ZTX0","Transmembrane emp24 domain-containing protein 7 (p24 family protein gamma-3) (p24gamma3) (p27)",-2.25985100456466
"1577","CHOYP_BRAFLDRAFT_126943.1.3|m.6839","A8MGS9","Uncharacterized methyltransferase Clos_1076 (EC 2.1.1.-)",3.32192809488736
"1579","CHOYP_BRAFLDRAFT_153908.1.2|m.1377","Q6ZT07","TBC1 domain family member 9 (TBC1 domain family member 9A)",2.25985100456466
"1583","CHOYP_BRAFLDRAFT_214346.1.1|m.56462","Q00988","Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",-2.70951129135145
"1592","CHOYP_BRAFLDRAFT_80311.1.3|m.18963","Q5KU26","Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)",2.70951129135145
"1615","CHOYP_GUK1.1.1|m.48140","P15454","Guanylate kinase (EC 2.7.4.8) (GMP kinase)",2.25985100456466
"1623","CHOYP_LIS1.1.1|m.56212","C3XVT5","Lissencephaly-1 homolog",-2.25985100456466
"1684","CHOYP_LOC586835.1.1|m.9967","Q96MU7","YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)",-2.16992500144231
"1710","CHOYP_PHUM_PHUM317840.1.2|m.29476","C9JRZ8","Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (Estradiol 17-beta-dehydrogenase AKR1B15) (EC 1.1.1.62)",3.0896936467371
"1712","CHOYP_PHUM_PHUM574190.1.1|m.24768","Q05209","Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (PTP-PEST) (Protein-tyrosine phosphatase G1) (PTPG1)",2.70951129135145
"1720","CHOYP_PUR2.1.1|m.17810","Q64737","Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]",-2.16992500144231
"1764","CHOYP_BRAFLDRAFT_113892.1.1|m.44055","P48508","Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit)",2.25985100456466
"1776","CHOYP_BRAFLDRAFT_233674.1.1|m.66738","A5PLK2","Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (EC 3.1.3.-) (EC 3.6.1.1)",-2.25985100456466
"1793","CHOYP_BRAFLDRAFT_99630.3.9|m.20020","P22607","Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333)",4.41902258270291
"1808","CHOYP_FBLN2.1.1|m.25187","P37889","Fibulin-2 (FIBL-2)",-2.32192809488736
"1819","CHOYP_ISCW_ISCW007151.1.2|m.41781","P16056","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)",-2
"1841","CHOYP_LOC100371248.1.2|m.10238","Q49775","Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12 dependent) (MS)",-2.4594316186373
"1901","CHOYP_MTHR.1.1|m.54596","Q5I598","Methylenetetrahydrofolate reductase (EC 1.5.1.20)",-2.90689059560852
"1909","CHOYP_NF70.1.4|m.31159","P48675","Desmin",3.95419631038688
"1919","CHOYP_PPBT.1.4|m.5115","Q29486","Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)",2.4594316186373
"1946","CHOYP_TNRC6A.2.2|m.59802","Q9HCJ0","Trinucleotide repeat-containing gene 6C protein",-3
"1987","CHOYP_BRAFLDRAFT_265162.1.3|m.58969","Q5EAR5","tRNA 2'-phosphotransferase 1 (EC 2.7.1.160)",-3.0896936467371
"2078","CHOYP_LOC100704562.1.1|m.25340","Q8YWD8","Peptide methionine sulfoxide reductase MsrA 2 (Protein-methionine-S-oxide reductase 2) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase 2) (Peptide Met(O) reductase 2)",2
"2100","CHOYP_LOC587705.1.2|m.11702","O05408","Uncharacterized oxidoreductase YrpG (EC 1.-.-.-)",2.16992500144231
"2114","CHOYP_MYO16.4.4|m.65831","Q9Y6X6","Unconventional myosin-XVI (Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 3) (Unconventional myosin-16)",4.61643218977614
"2126","CHOYP_PHUM_PHUM445570.1.1|m.18708","O15460","Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)",-2.32192809488736
"2136","CHOYP_RIR1.2.2|m.30556","P07742","Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit)",-2
"2182","CHOYP_BRAFLDRAFT_118790.1.1|m.29970","Q9C6B9","Phosphoethanolamine N-methyltransferase 3 (EC 2.1.1.103)",-2.90689059560852
"2201","CHOYP_BRAFLDRAFT_284130.1.1|m.27065","P90893","Putative serine protease F56F10.1 (EC 3.4.-.-)",-2.4594316186373
"2230","CHOYP_DOCK1.2.2|m.61345","Q14185","Dedicator of cytokinesis protein 1 (180 kDa protein downstream of CRK) (DOCK180)",2.32192809488736
"2255","CHOYP_LOC100179300.1.2|m.22734","O15865","Calcium-dependent protein kinase 2 (EC 2.7.11.1) (PfCDPK2)",-2.25985100456466
"2288","CHOYP_LOC100701551.1.7|m.3948","Q9CQR2","40S ribosomal protein S21",3.0896936467371
"2387","CHOYP_contig_023445|m.26685","Q66HG4","Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)",-3.70951129135145
"2395","CHOYP_ANR40.1.1|m.1429","Q5SUE8","Ankyrin repeat domain-containing protein 40",2.25985100456466
"2418","CHOYP_BRAFLDRAFT_89536.1.1|m.26678","Q5SPL2","PHD finger protein 12 (PHD factor 1) (Pf1)",3.70951129135145
"2441","CHOYP_FLNA.2.6|m.11845","Q9VEN1","Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Filamin-1) (Filamin1)",3.60510255001058
"2458","CHOYP_LACH.1.1|m.62529","Q24372","Lachesin",2.25985100456466
"2503","CHOYP_LOC100708024.1.2|m.7177","Q8VC31","Coiled-coil domain-containing protein 9",-2.70951129135145
"2540","CHOYP_NEMVEDRAFT_V1G157950.1.1|m.4584","A2VD82","Tetratricopeptide repeat protein 38 (TPR repeat protein 38)",-2.70951129135145
"2549","CHOYP_PCCB.1.2|m.3057","Q13231","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)",-2.70951129135145
"2583","CHOYP_STIP1.2.2|m.54723","Q9USI5","Heat shock protein sti1 homolog",4.64385618977472
"2598","CHOYP_XRN2.1.1|m.13943","Q5ZIP4","5'-3' exoribonuclease 2 (EC 3.1.13.-)",-3.39231742277876
"2645","CHOYP_CNOT1.1.1|m.12104","Q6ZQ08","CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1)",-2.45696231588174
"2695","CHOYP_LOC100376802.2.2|m.60631","O76537","Peptidoglycan recognition protein",-2.70951129135145
"2721","CHOYP_LOC101075808.1.1|m.17712","Q5RE33","Receptor expression-enhancing protein 5 (Polyposis locus protein 1 homolog)",-3.0896936467371
"2807","CHOYP_BRAFLDRAFT_208436.25.32|m.60144","O43301","Heat shock 70 kDa protein 12A",2.58496250072116
"2810","CHOYP_BRAFLDRAFT_262219.2.2|m.65564","Q99JW2","Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)",-2.25985100456466
"2856","CHOYP_HS12A.25.33|m.60352","Q8EUH7","Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)",3.4594316186373
"2894","CHOYP_LOC100371881.1.2|m.3634","P46013","Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)",2.70043971814109
"2903","CHOYP_LOC100533537.1.1|m.36","Q921J2","GTP-binding protein Rheb (Ras homolog enriched in brain)",2.25985100456466
"2936","CHOYP_LOC579946.7.24|m.39737","P22105","Tenascin-X (TN-X) (Hexabrachion-like protein)",-2.4594316186373
"2941","CHOYP_LOC654994.1.1|m.39461","Q9VLN1","WD repeat-containing protein 82",2.25985100456466
"2968","CHOYP_PHUM_PHUM066670.2.3|m.42178","P98160","Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]",3.32192809488736
"2987","CHOYP_SETD3.1.1|m.42582","B1MTJ4","Histone-lysine N-methyltransferase setd3 (EC 2.1.1.43) (SET domain-containing protein 3)",-3.70951129135145
"3013","CHOYP_AACS.1.1|m.66267","Q28BL6","Acetoacetyl-CoA synthetase (EC 6.2.1.16)",2.70951129135145
"3054","CHOYP_BRAFLDRAFT_76176.1.1|m.55550","Q8NE28","Serine/threonine kinase-like domain-containing protein STKLD1 (Serine/threonine kinase-like domain-containing protein 1) (Sugen kinase 071)",2.25985100456466
"3055","CHOYP_BRAFLDRAFT_90471.1.2|m.30257","Q9JLQ0","CD2-associated protein (Mesenchyme-to-epithelium transition protein with SH3 domains 1) (METS-1)",2.90689059560852
"3072","CHOYP_EFGM.1.1|m.16632","Q7Q1K8","Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)",-3.0896936467371
"3087","CHOYP_ISCW_ISCW021457.1.1|m.31134","Q5XIH7","Prohibitin-2 (B-cell receptor-associated protein BAP37) (BAP-37)",3.0896936467371
"3120","CHOYP_LOC100376289.1.1|m.60023","Q5RHH4","Intraflagellar transport protein 172 homolog",3.70951129135145
"3135","CHOYP_LOC100743548.1.2|m.18991","P00126","Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",2.70951129135145
"3140","CHOYP_LOC100877728.1.1|m.19879","Q5ZLS7","Putative oxidoreductase GLYR1 (EC 1.-.-.-) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60)",2.8073549220576
"3161","CHOYP_LOC591968.1.1|m.37093","Q9DAZ9","Abscission/NoCut checkpoint regulator (ANCHR) (Zinc finger FYVE domain-containing protein 19)",2.25985100456466
"3164","CHOYP_LOC764565.1.1|m.3966","Q9GKX2","Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase/NADP-retinol dehydrogenase) (CR) (PHCR) (NADPH-dependent retinol dehydrogenase/reductase) (NDRD) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (rabNRDR) (Fragment)",3.0896936467371
"3184","CHOYP_PGTG_12376.1.2|m.43330","Q5SZI1","Low-density lipoprotein receptor class A domain-containing protein 2",3.0896936467371
"3216","CHOYP_WDR52.1.1|m.21751","Q96MT7","Cilia- and flagella-associated protein 44 (WD repeat-containing protein 52)",2.16992500144231
"3275","CHOYP_DNJC3.1.1|m.52309","Q27968","DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)",2.4594316186373
"3280","CHOYP_EPRS.1.1|m.35443","Q8CGC7","Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]",-2
"3307","CHOYP_LOC100181607.1.2|m.36709","P72745","Universal stress protein Slr1101 (USP Slr1101)",3.70951129135145
"3379","CHOYP_PLOD3.1.1|m.41788","Q5U367","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3)",4.61643218977614
"3391","CHOYP_SMC3.1.1|m.65133","O93309","Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3)",2.58496250072116
"3395","CHOYP_TENS3.4.4|m.60095","Q9HBL0","Tensin-1",3.41902258270291
"3397","CHOYP_TPPC8.1.1|m.6302","Q9Y2L5","Trafficking protein particle complex subunit 8 (Protein TRS85 homolog)",2.25985100456466
"3410","CHOYP_AKT1.2.2|m.51125","Q8INB9","RAC serine/threonine-protein kinase (DAkt) (DRAC-PK) (Dakt1) (EC 2.7.11.1) (Akt) (Protein kinase B) (PKB)",-2.16992500144231
"3442","CHOYP_CDK13.1.1|m.59965","Q9NYV4","Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)",-3.41902258270291
"3463","CHOYP_EF2.1.5|m.1541","P24156","Protein l(2)37Cc",2
"3469","CHOYP_FASN.3.4|m.60278","P12276","Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]",-2.66547172246706
"3545","CHOYP_LOC588883.2.3|m.14590","O15027","Protein transport protein Sec16A (SEC16 homolog A)",-2.16992500144231
"3568","CHOYP_NUP50.1.1|m.17104","Q9UKX7","Nuclear pore complex protein Nup50 (50 kDa nucleoporin) (Nuclear pore-associated protein 60 kDa-like) (Nucleoporin Nup50)",3.24792751344359
"3573","CHOYP_PHUM_PHUM454570.1.1|m.28665","Q3UHU5","Microtubule cross-linking factor 1 (Coiled-coil domain-containing protein 165) (PAR-1-interacting protein) (SOGA family member 2)",2.4594316186373
"3597","CHOYP_UBC12.1.1|m.51806","Q6P8D9","NEDD8-conjugating enzyme Ubc12 (EC 6.3.2.-) (NEDD8 carrier protein) (NEDD8 protein ligase) (Ubiquitin-conjugating enzyme E2 M)",-3.70951129135145
"3598","CHOYP_UFD1L.1.1|m.43606","Q92890","Ubiquitin fusion degradation protein 1 homolog (UB fusion protein 1)",-2.25985100456466
"3608","CHOYP_AGAP_AGAP008046.1.1|m.58394","Q4V920","Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1)",2.66547172246706
"3660","CHOYP_CO1A1.1.1|m.32133","P39059","Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV) (Related to endostatin) (Restin-I); Restin-2 (Restin-II); Restin-3 (Restin-III); Restin-4 (Restin-IV)]",2.25985100456466
"3779","CHOYP_ODH.1.2|m.1327","Q8N0P0","Octopine dehydrogenase (OcDH) (EC 1.5.1.11)",3.41902258270291
"3803","CHOYP_SC22B.1.1|m.62900","Q6P7L4","Vesicle-trafficking protein SEC22b (SEC22 vesicle-trafficking protein homolog B) (SEC22-like protein 1)",2.25985100456466
"3869","CHOYP_BRAFLDRAFT_92367.1.4|m.29492","Q0E908","Hillarin (D-Hillarin) (D-hil)",-2.8073549220576
"3870","CHOYP_BRAFLDRAFT_93411.3.3|m.54402","O97758","Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)",2
"3890","CHOYP_DFA_05420.1.1|m.25051","O42646","Ubiquitin-conjugating enzyme E2 6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 6) (Ubiquitin carrier protein 6) (Ubiquitin-protein ligase 6)",3.70951129135145
"3902","CHOYP_EGFR.1.3|m.30285","P0CY46","Epidermal growth factor receptor (Egfr) (EC 2.7.10.1)",2.70951129135145
"3915","CHOYP_ISCW_ISCW014398.1.3|m.15839","P38922","Protein HRB1 (Protein TOM34)",-2.25985100456466
"3965","CHOYP_LOC101175670.1.1|m.37","Q9NFP5","SH3 domain-binding glutamic acid-rich protein homolog (SH3BGR protein)",-2.70951129135145
"4009","CHOYP_PHUM_PHUM574550.1.1|m.59401","Q5XJK1","Short coiled-coil protein B",-2.70951129135145
"4028","CHOYP_SMP_039300.1.1|m.1202","F7H9X2","Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING-type E3 ubiquitin transferase TRIM2)",3.41902258270291
"4040","CHOYP_VPS4B.2.2|m.30053","Q0VD48","Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6)",2.33471751947279
"4054","CHOYP_ACAD8.1.1|m.9135","Q9D7B6","Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.99.-) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",-2.25985100456466
"4060","CHOYP_BAG1.2.2|m.60616","O44739","BAG family molecular chaperone regulator 1",2.25985100456466
"4082","CHOYP_BRAFLDRAFT_287444.3.5|m.17688","Q6RVV4","Short-chain dehydrogenase TIC 32, chloroplastic (EC 1.1.1.-) (Translocon at the inner envelope membrane of chloroplasts 32) (PsTIC32)",3.41902258270291
"4104","CHOYP_CTRL.1.1|m.48654","P35003","Chymotrypsin-like serine proteinase (EC 3.4.21.-)",-2.25985100456466
"4157","CHOYP_LOC100378209.1.2|m.7335","P25490","Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1)",-3.0896936467371
"4188","CHOYP_MEGF6.36.59|m.43203","Q14162","Scavenger receptor class F member 1 (Acetyl LDL receptor) (Scavenger receptor expressed by endothelial cells 1) (SREC-I)",2.16992500144231
"4241","CHOYP_WDR5.2.3|m.6293","Q5M786","WD repeat-containing protein 5",-2.58496250072116
"4254","CHOYP_AGAP_AGAP002739.3.5|m.47030","P82279","Protein crumbs homolog 1",2.79927458418712
"4276","CHOYP_BRAFLDRAFT_208090.1.1|m.45354","Q61371","Intraflagellar transport protein 88 homolog (Recessive polycystic kidney disease protein Tg737) (Tetratricopeptide repeat protein 10) (TPR repeat protein 10) (TgN(Imorpk)737Rpw)",2.25985100456466
"4341","CHOYP_LOC100161158.1.1|m.14383","Q6NYU7","Uracil phosphoribosyltransferase homolog",-3.0896936467371
"4367","CHOYP_LOC100563867.1.1|m.11836","Q8BGB5","LIM domain-containing protein 2",2.25985100456466
