"Cluster","Silo","Protein.ID","CompetentLarvae_1","X3_3","X9_3","X3_5","X9_5","X3_7","X9_7","X3_9","X9_9","X3_11","X9_11","X3_13","X9_13","X3_15","X9_15","Avg","StDev","CoeffcientVariance","Variance","Median","Slope","Kurtosis","Skewness","Max","Min","Range","X1st_quartile","X4th_quartile","Sum","Day0.Day15","Day3.Day15","Avg_Day0.7","Avg_Day9.15","X1sthalf.2ndhalf","Range_Day0.7","Range_Day9.15","Sum.TotalProteinIDs","High.Low","Variability","Tag","column1","column2","column3","column4","column5","column6","column7","column8","column9","column10","column11","column12","column13","clean","Entry","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Gene.ontology..biological.process.","Gene.ontology.IDs","Pathway","Cross.reference..UniPathway.","Cross.reference..CDD.","Cross.reference..Pfam.","Gene.ontology..GO."
1,"3","CHOYP_AATF.1.1|m.34004",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_AATF.1.1|m.34004","Q5ZIM6","AATF_CHICK","40.34","595","300","12","3","572","5","569","2.00E-113","356","1","Q5ZIM6","AATF_CHICK","reviewed","Protein AATF (Apoptosis-antagonizing transcription factor)","AATF RCJMB04_24o4","Gallus gallus (Chicken)","574","cell adhesion [GO:0007155]; cellular response to DNA damage stimulus [GO:0006974]; embryonic cleavage [GO:0040016]; negative regulation of amyloid precursor protein biosynthetic process [GO:0042985]; negative regulation of apoptotic process [GO:0043066]; negative regulation of superoxide anion generation [GO:0032929]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of mitotic cell cycle [GO:0007346]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; ribosome biogenesis [GO:0042254]","GO:0003723; GO:0005730; GO:0005737; GO:0006357; GO:0006974; GO:0007155; GO:0007346; GO:0032929; GO:0040016; GO:0042254; GO:0042985; GO:0043066; GO:0045944","","","","PF13339;PF08164;","cytoplasm [GO:0005737]; nucleolus [GO:0005730]; RNA binding [GO:0003723]; cell adhesion [GO:0007155]; cellular response to DNA damage stimulus [GO:0006974]; embryonic cleavage [GO:0040016]; negative regulation of amyloid precursor protein biosynthetic process [GO:0042985]; negative regulation of apoptotic process [GO:0043066]; negative regulation of superoxide anion generation [GO:0032929]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of mitotic cell cycle [GO:0007346]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; ribosome biogenesis [GO:0042254]"
1,"9","CHOYP_ABCB6.3.3|m.53101",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.0714285714,0.1749635531,"2.4494897428",0.0306122449,0,"#VALUE!","7","2.6457513111",0.5,0,0.5,0,0.5,0.5,"0","0",0,0.125,-0.125,0,0.5,0.0059220656,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_ABCB6.3.3|m.53101","Q08D64","ABCB6_XENTR","56.09","829","338","7","3","824","7","816","0","880","1","Q08D64","ABCB6_XENTR","reviewed","ATP-binding cassette sub-family B member 6, mitochondrial","abcb6","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)","849","","GO:0005524; GO:0005741; GO:0005783; GO:0005794; GO:0005886; GO:0016021; GO:0042626","","","","PF00664;PF00005;PF16185;","endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]"
1,"9","CHOYP_ABCG8.1.1|m.3707",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.0714285714,0.1749635531,"2.4494897428",0.0306122449,0,"#VALUE!","7","2.6457513111",0.5,0,0.5,0,0.5,0.5,"#DIV/0!","#DIV/0!",0,0.125,-0.125,0,0.5,0.0059220656,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_ABCG8.1.1|m.3707","Q9H222","ABCG5_HUMAN","41.57","623","349","6","32","642","26","645","1.00E-163","491","1","Q9H222","ABCG5_HUMAN","reviewed","ATP-binding cassette sub-family G member 5 (Sterolin-1)","ABCG5","Homo sapiens (Human)","651","cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; drug transmembrane transport [GO:0006855]; excretion [GO:0007588]; intestinal cholesterol absorption [GO:0030299]; negative regulation of intestinal cholesterol absorption [GO:0045796]; negative regulation of intestinal phytosterol absorption [GO:0010949]; response to ionizing radiation [GO:0010212]; response to nutrient [GO:0007584]; sterol transport [GO:0015918]; transmembrane transport [GO:0055085]","GO:0005524; GO:0005886; GO:0006855; GO:0007584; GO:0007588; GO:0010212; GO:0010949; GO:0015918; GO:0016324; GO:0017127; GO:0030299; GO:0033344; GO:0042626; GO:0042632; GO:0043190; GO:0043235; GO:0045796; GO:0046982; GO:0055085","","","","PF01061;PF00005;","apical plasma membrane [GO:0016324]; ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; cholesterol transporter activity [GO:0017127]; protein heterodimerization activity [GO:0046982]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; drug transmembrane transport [GO:0006855]; excretion [GO:0007588]; intestinal cholesterol absorption [GO:0030299]; negative regulation of intestinal cholesterol absorption [GO:0045796]; negative regulation of intestinal phytosterol absorption [GO:0010949]; response to ionizing radiation [GO:0010212]; response to nutrient [GO:0007584]; sterol transport [GO:0015918]; transmembrane transport [GO:0055085]"
1,"9","CHOYP_ACAC.2.2|m.58115",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
1,"3","CHOYP_ACDOPBH.8.9|m.52946",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_ACDOPBH.8.9|m.52946","Q7Z0T3","TEMPT_APLCA","50.44","113","55","1","4","115","8","120","6.00E-30","118","1","Q7Z0T3","TEMPT_APLCA","reviewed","Temptin","","Aplysia californica (California sea hare)","125","","GO:0005576","","","","","extracellular region [GO:0005576]"
1,"9","CHOYP_ACDOPBH.9.9|m.63296",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_ACDOPBH.9.9|m.63296","P83388","AMDL_CAEEL","25.91","247","158","10","203","441","61","290","2.00E-10","67.4","1","P83388","AMDL_CAEEL","reviewed","Probable peptidyl-glycine alpha-amidating monooxygenase pamn-1 (PAM) [Includes: Probable peptidylglycine alpha-hydroxylating monooxygenase (PHM) (EC 1.14.17.3); Probable peptidyl-alpha-hydroxyglycine alpha-amidating lyase (EC 4.3.2.5) (Peptidylamidoglycolate lyase) (PAL)]","pamn-1 T19B4.1","Caenorhabditis elegans","663","peptide metabolic process [GO:0006518]","GO:0004504; GO:0004598; GO:0005507; GO:0005576; GO:0006518; GO:0016020","","","","PF03712;PF01082;PF01436;","extracellular region [GO:0005576]; membrane [GO:0016020]; copper ion binding [GO:0005507]; peptidylamidoglycolate lyase activity [GO:0004598]; peptidylglycine monooxygenase activity [GO:0004504]; peptide metabolic process [GO:0006518]"
1,"3","CHOYP_ACE.4.4|m.17563",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
1,"3","CHOYP_ACSF2.2.4|m.30204",4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_ACSF2.2.4|m.30204","Q0P4F7","ACSF2_DANRE","27.74","584","360","18","5","558","53","604","8.00E-46","174","1","Q0P4F7","ACSF2_DANRE","reviewed","Acyl-CoA synthetase family member 2, mitochondrial (EC 6.2.1.-)","acsf2 zgc:152887","Danio rerio (Zebrafish) (Brachydanio rerio)","606","fatty acid metabolic process [GO:0006631]","GO:0005524; GO:0005739; GO:0006631; GO:0016874","","","","PF00501;PF13193;","mitochondrion [GO:0005739]; ATP binding [GO:0005524]; ligase activity [GO:0016874]; fatty acid metabolic process [GO:0006631]"
30,"9","CHOYP_ACT.23.27|m.58454",79,47,0,39,31,65,69.5,32,37,77,80,67,0,54,130,61.5714285714,37.3787836799,"0.6070800134",1397.1734693878,67,"#VALUE!","1.1217908649","0.2432875424",130,0,130,43.25,130,431,"0.5923076923","0.6153846154",64.125,62.875,1.25,47.5,130,5.1048205614,"low_abundance","high_variance","low_abundance-high_variance","CHOYP_ACT.23.27|m.58454","P86700","ACT_CHIOP","45.43","350","33","8","20","369","1","192","1.00E-77","244","1","P86700","ACT_CHIOP","reviewed","Actin, muscle (Alpha-actin) (Fragments)","","Chionoecetes opilio (Crab-beetle)","192","","GO:0005524; GO:0005737; GO:0005856","","","","PF00022;","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]"
1,"3","CHOYP_ACT.23.27|m.58454",79,47,0,39,31,65,69.5,32,37,77,80,67,0,54,130,61.5714285714,37.3787836799,"0.6070800134",1397.1734693878,67,"#VALUE!","1.1217908649","0.2432875424",130,0,130,43.25,130,431,"0.5923076923","0.6153846154",64.125,62.875,1.25,47.5,130,5.1048205614,"low_abundance","high_variance","low_abundance-high_variance","CHOYP_ACT.23.27|m.58454","P86700","ACT_CHIOP","45.43","350","33","8","20","369","1","192","1.00E-77","244","1","P86700","ACT_CHIOP","reviewed","Actin, muscle (Alpha-actin) (Fragments)","","Chionoecetes opilio (Crab-beetle)","192","","GO:0005524; GO:0005737; GO:0005856","","","","PF00022;","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]"
1,"9","CHOYP_ACT3.1.3|m.23292",0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.2142857143,0.5248906592,"2.4494897428",0.2755102041,0,"#VALUE!","7","2.6457513111",1.5,0,1.5,0,1.5,1.5,"#DIV/0!","#DIV/0!",0.375,0,0.375,1.5,0,0.0177661968,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_ACT3.1.3|m.23292","Q5JWF8","ACL10_HUMAN","33.74","243","154","3","44","281","1","241","5.00E-48","166","1","Q5JWF8","ACL10_HUMAN","reviewed","Actin-like protein 10","ACTL10 C20orf134","Homo sapiens (Human)","245","","","","","","PF00022;",""
4,"3","CHOYP_ACT.5.27|m.15585",0,189.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
5,"3","CHOYP_ACT.6.27|m.15622",0,0,0,0,0,86.5,0,0,0,0,0,83,0,79,91.5,36.2142857143,41.9556374067,"1.158538311",1760.2755102041,0,"#VALUE!","-2.7040570179","0.4004934455",91.5,0,91.5,0,91.5,253.5,"0","0",20.75,42.625,-21.875,83,91.5,3.0024872676,"low_abundance","high_variance","low_abundance-high_variance","CHOYP_ACT.6.27|m.15622","Q39596","ACT_OXYRB","98.82","85","1","0","3","87","1","85","2.00E-54","177","1","Q39596","ACT_OXYRB","reviewed","Actin (Fragment)","","Oxybasis rubra (Red goosefoot) (Chenopodium rubrum)","85","","GO:0005524; GO:0005737; GO:0005856","","","","PF00022;","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]"
1,"9","CHOYP_ACT.6.27|m.15622",0,0,0,0,0,86.5,0,0,0,0,0,83,0,79,91.5,36.2142857143,41.9556374067,"1.158538311",1760.2755102041,0,"#VALUE!","-2.7040570179","0.4004934455",91.5,0,91.5,0,91.5,253.5,"0","0",20.75,42.625,-21.875,83,91.5,3.0024872676,"low_abundance","high_variance","low_abundance-high_variance","CHOYP_ACT.6.27|m.15622","Q39596","ACT_OXYRB","98.82","85","1","0","3","87","1","85","2.00E-54","177","1","Q39596","ACT_OXYRB","reviewed","Actin (Fragment)","","Oxybasis rubra (Red goosefoot) (Chenopodium rubrum)","85","","GO:0005524; GO:0005737; GO:0005856","","","","PF00022;","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]"
